gruppo,metodo,cagr,sharpe,dd,trades,inmkt,vs,ppy,n,finestra
ATR vero QQQ,MA50 + stop 2xATR,6.587384615874403,0.5109605727308838,-23.12497323525585,9.1728,73.0,-9.017511715497186,252,5000,2006-2026
ATR vero QQQ,MA50 + stop 3xATR,9.925391925862748,0.6986381853869764,-29.5157230345215,4.536,77.48,-5.67950440550884,252,5000,2006-2026
ATR vero QQQ,MA50 + stop 4xATR,10.795604660959434,0.7342248138688762,-28.314020358785676,2.6712,79.86,-4.809291670412154,252,5000,2006-2026
ATR vero QQQ,MA100 + stop 2xATR,6.15810378303292,0.4786611827888681,-28.312220024569925,9.576,73.78,-9.446792548338667,252,5000,2006-2026
ATR vero QQQ,MA100 + stop 3xATR,7.943874080775015,0.5689991497599748,-34.89744492608807,4.788,77.68,-7.661022250596573,252,5000,2006-2026
ATR vero QQQ,MA100 + stop 4xATR,8.77455997024368,0.596682137170061,-34.478808775652084,2.8224,80.0,-6.830336361127909,252,5000,2006-2026
ATR vero QQQ,MA200 + stop 2xATR,7.025382013006221,0.5221197504763374,-28.61224180911366,9.9792,74.96000000000001,-8.579514318365367,252,5000,2006-2026
ATR vero QQQ,MA200 + stop 3xATR,9.723256808058366,0.6671685479659019,-29.843322071599797,4.788,78.03999999999999,-5.881639523313222,252,5000,2006-2026
ATR vero QQQ,MA200 + stop 4xATR,10.878901164255272,0.7104052745523184,-26.727299600944242,2.7216,79.88,-4.7259951671163165,252,5000,2006-2026
ATR vero QQQ,buy&hold,15.604896331371588,0.7664438516567422,-53.55260682450681,0.0,100.0,0.0,252,5000,2006-2026
ATR vero AAPL,MA50 + stop 2xATR,17.458922388896838,0.8475797954976368,-38.842423696389304,8.719199999999999,68.54,-10.244172931181136,252,5000,2006-2026
ATR vero AAPL,MA50 + stop 3xATR,19.749723659975672,0.9146736987102351,-44.67596130814124,5.1408,71.56,-7.953371660102302,252,5000,2006-2026
ATR vero AAPL,MA50 + stop 4xATR,19.789584020173013,0.8891196194655161,-45.7216219217276,3.3768,75.4,-7.913511299904961,252,5000,2006-2026
ATR vero AAPL,MA100 + stop 2xATR,17.66765822783869,0.8199522614127802,-38.56758645365092,9.072,71.67999999999999,-10.035437092239285,252,5000,2006-2026
ATR vero AAPL,MA100 + stop 3xATR,19.62466585349172,0.8694912454607274,-38.932617136652226,5.1912,74.58,-8.078429466586254,252,5000,2006-2026
ATR vero AAPL,MA100 + stop 4xATR,20.642418401547925,0.8842139747494775,-51.210156892199606,3.2256,77.96,-7.060676918530049,252,5000,2006-2026
ATR vero AAPL,MA200 + stop 2xATR,19.449094217182726,0.8766707856170651,-36.86714745852825,9.122399999999999,71.76,-8.254001102895248,252,5000,2006-2026
ATR vero AAPL,MA200 + stop 3xATR,19.242359017671152,0.8589315178554953,-42.90589087656568,4.9392,73.52,-8.460736302406822,252,5000,2006-2026
ATR vero AAPL,MA200 + stop 4xATR,18.31639858232439,0.8197994419658249,-43.441654414730536,3.1752,74.53999999999999,-9.386696737753585,252,5000,2006-2026
ATR vero AAPL,buy&hold,27.703095320077974,0.9401023630714147,-60.86672019213126,0.0,100.0,0.0,252,5000,2006-2026
VWAP QQQ 1 ora,long sopra VWAP,-24.21610923297711,-1.8598228006445443,-54.489079922765086,237.0816,56.92,-47.808346073061536,1764,5000,2023-09-14/2026-07-24
VWAP QQQ 1 ora,long sotto VWAP (mean rev.),-19.936533526601263,-1.5565811227087842,-47.45592199725536,237.4344,43.059999999999995,-43.52877036668569,1764,5000,2023-09-14/2026-07-24
VWAP QQQ 1 ora,breakout +1 dev.std,-14.962433473642688,-1.9790297739458256,-39.388430822750145,138.65040000000002,17.36,-38.554670313727115,1764,5000,2023-09-14/2026-07-24
VWAP QQQ 1 ora,rientro -1 dev.std,-10.615494864692243,-1.1605241001025643,-33.00241942171612,118.5408,14.34,-34.20773170477667,1764,5000,2023-09-14/2026-07-24
VWAP QQQ 1 ora,buy&hold,23.592236840084425,1.1717933465697394,-23.155304600092343,0.0,100.0,0.0,1764,5000,2023-09-14/2026-07-24
VWAP QQQ 15 minuti,long sopra VWAP,-53.64450538746253,-5.481666120287755,-45.967798753443034,495.3312,57.34,-71.73698848599166,6552,5000,2025-10-15/2026-07-24
VWAP QQQ 15 minuti,long sotto VWAP (mean rev.),-42.274545904221505,-3.5407423697355394,-34.691992734470375,495.3312,42.64,-60.36702900275064,6552,5000,2025-10-15/2026-07-24
VWAP QQQ 15 minuti,breakout +1 dev.std,-41.82448693100598,-6.355917295847579,-34.09794302421416,382.63680000000005,23.52,-59.91697002953511,6552,5000,2025-10-15/2026-07-24
VWAP QQQ 15 minuti,rientro -1 dev.std,-25.242078614595453,-2.9221953772729767,-21.30394072218047,297.4608,17.24,-43.334561713124586,6552,5000,2025-10-15/2026-07-24
VWAP QQQ 15 minuti,buy&hold,18.092483098529133,0.9202732039052778,-12.712066305650438,0.0,100.0,0.0,6552,5000,2025-10-15/2026-07-24
