sym,anchor,sig,cagr,vs,sharpe,dd,ops,inmkt
QQQ,settimana,long sopra VWAP,-3.4479491635924564,-19.052845494964046,-0.16239626759224043,-68.45891620637036,44.7048,59.84
QQQ,settimana,long sotto VWAP,4.688051032691076,-10.916845298680512,0.35993064464250846,-23.909306674567212,44.604,40.06
QQQ,settimana,breakout +1 dev.std,-2.8731692400660314,-18.478065571437618,-0.3110749820927865,-53.165384812697305,24.9984,16.2
QQQ,settimana,rientro -1 dev.std,-0.8378940069655116,-16.4427903383371,-0.027046019285121244,-35.9776505718101,18.396,11.08
QQQ,due settimane,long sopra VWAP,-0.860988717535105,-16.465885048906692,0.0109946803627044,-57.846781467180804,35.3808,61.739999999999995
QQQ,due settimane,long sotto VWAP,4.861302063807882,-10.743594267563706,0.3646663252941437,-26.018535941324316,35.3808,38.2
QQQ,due settimane,breakout +1 dev.std,-0.47136987880873615,-16.076266210180325,-0.02472252839797813,-38.05596735129322,18.648,18.62
QQQ,due settimane,rientro -1 dev.std,1.6600709552002213,-13.944825376171366,0.2020842580469762,-31.433314690451542,14.616,11.06
QQQ,mese,long sopra VWAP,3.379942146543491,-12.224954184828096,0.30757215564730045,-51.699887296841965,24.3936,64.0
QQQ,mese,long sotto VWAP,3.9481609456595734,-11.656735385712015,0.311373507261406,-33.38148772469024,24.444,35.96
QQQ,mese,breakout +1 dev.std,0.9832510679739892,-14.6216452633976,0.16955174185328203,-20.40017494169357,14.616,22.88
QQQ,mese,rientro -1 dev.std,4.2583935630652325,-11.346502768306355,0.40232609752631565,-21.05580125651858,10.5336,11.459999999999999
QQQ,trimestre,long sopra VWAP,7.1665700686532,-8.438326262718387,0.5634071769155095,-40.17179987262327,14.5656,69.22
QQQ,trimestre,long sotto VWAP,3.2602693184584863,-12.3446270129131,0.27290553594096073,-37.30800430342535,14.616,30.759999999999998
QQQ,trimestre,breakout +1 dev.std,0.1894192141135731,-15.415477117258014,0.06505246773280644,-32.71374377582461,11.6424,33.82
QQQ,trimestre,rientro -1 dev.std,3.849190632393684,-11.755705698977904,0.35417133846539217,-20.107770808131598,6.6528,10.86
QQQ,—,buy&hold,15.604896331371588,0.0,0.7664438516567422,-53.55260682450681,0.0,100.0
AAPL,settimana,long sopra VWAP,3.997848250632585,-23.705247069445388,0.29053175748024795,-61.619316722190554,44.654399999999995,55.94
AAPL,settimana,long sotto VWAP,7.3538182890233506,-20.349277031054623,0.4254580912111056,-40.77482305916719,44.654399999999995,44.0
AAPL,settimana,breakout +1 dev.std,6.306020217404251,-21.397075102673725,0.5757986318314776,-40.60441354807782,22.276799999999998,14.940000000000001
AAPL,settimana,rientro -1 dev.std,1.3385919905203103,-26.364503329557664,0.1640573225997545,-44.406485206685765,17.4888,10.76
AAPL,due settimane,long sopra VWAP,12.29279412042521,-15.410301199652764,0.6690046859395158,-48.478474997584286,33.0624,57.49999999999999
AAPL,due settimane,long sotto VWAP,2.989034934542234,-24.71406038553574,0.24251124118407702,-57.84473908610879,33.0624,42.480000000000004
AAPL,due settimane,breakout +1 dev.std,2.7526852559346393,-24.950410064143334,0.3033803105570909,-25.778957034637116,17.9424,17.380000000000003
AAPL,due settimane,rientro -1 dev.std,2.3069972876568645,-25.396098032421108,0.22722509715737063,-38.26051786909609,14.3136,11.66
AAPL,mese,long sopra VWAP,17.405081761562613,-10.298013558515361,0.883859641179386,-39.652431730230155,23.5368,60.6
AAPL,mese,long sotto VWAP,1.3794914898310529,-26.32360383024692,0.1761028289859183,-58.03210695849113,23.4864,39.36
AAPL,mese,breakout +1 dev.std,4.927621712465813,-22.775473607612163,0.4837839661449962,-21.838202925799145,13.356,20.48
AAPL,mese,rientro -1 dev.std,4.316390723466679,-23.386704596611295,0.3425318868155173,-38.30689484486203,10.1808,11.899999999999999
AAPL,trimestre,long sopra VWAP,18.609449709890647,-9.093645610187327,0.9105642880853415,-39.703223973902304,13.2552,65.36
AAPL,trimestre,long sotto VWAP,3.484734375800902,-24.218360944277073,0.2642401904856996,-54.752580776953444,13.204799999999999,34.62
AAPL,trimestre,breakout +1 dev.std,8.733101783647633,-18.96999353643034,0.7133848463160789,-35.32060470036461,8.0136,29.14
AAPL,trimestre,rientro -1 dev.std,3.0268781108290232,-24.67621720924895,0.26783420714308703,-42.50842058284635,5.5944,10.76
AAPL,—,buy&hold,27.703095320077974,0.0,0.9401023630714147,-60.86672019213126,0.0,100.0
