metodo,cagr,vs,sharpe,dd,ops,inmkt,nota
"Kronos, segno grezzo (previsione > 0)",6.474889479592427,-7.188271001303924,0.4655892039163609,-18.112649302661776,2.2176,24.8,"polarizzato: 24,8% di previsioni rialziste"
"Kronos, quantile mobile 30%",5.228466910692853,-8.4346935702035,0.35271237243982845,-35.535837326860346,3.4272,62.0,soglia relativa a 60 previsioni
"Kronos, quantile mobile 40%",6.011977223943021,-7.65118325695333,0.3948369381182455,-35.535837326860346,3.4272,54.800000000000004,soglia relativa a 60 previsioni
"Kronos, quantile mobile 50%",3.34707688069642,-10.316083600199931,0.2674104263685611,-35.439183220006335,3.4272,48.4,soglia relativa a 60 previsioni
"Kronos, quantile mobile 60%",0.317974156169365,-13.345186324726987,0.10906757070472722,-33.634859512546676,4.4352,42.0,soglia relativa a 60 previsioni
"Kronos, quantile mobile 70%",0.5853620616466992,-13.077798419249653,0.12025073902965436,-27.49003087432825,4.6368,34.4,soglia relativa a 60 previsioni
"VWAP settimana, long sopra",-1.523145601336784,-15.186306082233136,-0.02357014252152576,-40.94501501388418,44.352,57.599999999999994,
"VWAP mese, long sopra",4.807216792906166,-8.855943687990186,0.38775927370137353,-24.587100421306353,23.5872,61.36000000000001,
"VWAP trimestre, long sopra",8.216505827944754,-5.446654652951597,0.578765414039304,-21.499585205502182,14.112,67.67999999999999,
Kronos q50 AND (entrambi d'accordo) VWAP settimana,-3.171555056394537,-16.83471553729089,-0.1958775473562074,-39.70878387061496,23.3856,26.240000000000002,
Kronos q50 OR (basta uno) VWAP settimana,5.201519884320671,-8.46164059657568,0.3456341106665267,-37.07929212523723,23.7888,79.75999999999999,
Kronos q50 media (mezza posizione) VWAP settimana,1.28987008093846,-12.373290399957892,0.1606170919240917,-37.14479232128332,46.7712,79.75999999999999,
Kronos q50 AND (entrambi d'accordo) VWAP mese,2.49740185404137,-11.16575862685498,0.2720975268004838,-21.11149605566789,12.9024,25.759999999999998,
Kronos q50 OR (basta uno) VWAP mese,5.771426422235426,-7.8917340586609255,0.36869468380943576,-39.36520550804426,13.5072,84.0,
Kronos q50 media (mezza posizione) VWAP mese,4.544598648787601,-9.11856183210875,0.3769330645162785,-28.47027309968979,26.208,84.0,
Kronos q50 AND (entrambi d'accordo) VWAP trimestre,3.732056018230745,-9.931104462665607,0.3855673159591987,-20.629330944203318,9.072,24.959999999999997,
Kronos q50 OR (basta uno) VWAP trimestre,7.977014199195054,-5.686146281701298,0.45657771023946714,-35.617214178994885,7.4592,91.12,
Kronos q50 media (mezza posizione) VWAP trimestre,6.319257279117618,-7.343903201778733,0.490711406296072,-26.7935347364198,16.5312,91.12,
buy&hold QQQ,13.663160480896352,0.0,0.6748452825104654,-35.617214178994885,0.0,100.0,benchmark
