sym,anchor,mode,cagr,sharpe,dd,ops,vs,n
BTCUSDT,—,buy&hold,34.06507157329936,0.7743742095605338,-83.47968749999998,0.0,0.0,3212
BTCUSDT,settimana,long-only,38.113159291409374,0.919043535999675,-65.54340237660253,110.45454545454544,4.048087718110011,3212
BTCUSDT,settimana,short-only,-17.07655303594401,-0.1713849254989935,-91.1653005999732,110.45454545454544,-51.14162460924337,3212
BTCUSDT,settimana,long-short,14.52347797200546,0.5339153319714955,-87.08853740953865,110.45454545454544,-19.541593601293904,3212
BTCUSDT,mese,long-only,50.795946099613175,1.122742057262366,-49.476807986013426,56.47727272727272,16.730874526313812,3212
BTCUSDT,mese,short-only,-10.40526788202023,0.007369769263791869,-88.30032160296064,56.47727272727272,-44.47033945531959,3212
BTCUSDT,mese,long-short,35.09858037867497,0.7853992906269819,-77.49134631863703,56.47727272727272,1.0335088053756039,3212
BTCUSDT,trimestre,long-only,74.51613296428246,1.4354815432048555,-51.13418935685381,27.159090909090907,40.4510613909831,3212
BTCUSDT,trimestre,short-only,3.998185360697115,0.3196430676202003,-67.810346191977,27.159090909090907,-30.06688621260225,3212
BTCUSDT,trimestre,long-short,81.49220708618444,1.233132225557297,-59.379282193004315,27.159090909090907,47.42713551288507,3212
ETHUSDT,—,buy&hold,23.436281780361877,0.6719475128992352,-93.9230644135953,0.0,0.0,3212
ETHUSDT,settimana,long-only,46.84875692436557,0.9455813644471185,-82.3516781298445,110.56818181818181,23.41247514400369,3212
ETHUSDT,settimana,short-only,-16.8351894780553,-0.010374047062844444,-96.73271023086669,110.56818181818181,-40.27147125841718,3212
ETHUSDT,settimana,long-short,22.11752220928642,0.6576898734560778,-97.25964873181726,110.56818181818181,-1.3187595710754572,3212
ETHUSDT,mese,long-only,59.611675235784055,1.090507454804396,-57.038120071031926,58.29545454545454,36.17539345542218,3212
ETHUSDT,mese,short-only,-9.99377950462944,0.12515197877895845,-91.18834635198422,58.29545454545454,-33.43006128499132,3212
ETHUSDT,mese,long-short,43.65914628640888,0.8517567885813616,-78.83333484064947,58.29545454545454,20.222864506047,3212
ETHUSDT,trimestre,long-only,73.40957477603796,1.2107120548084116,-61.56819119862453,29.204545454545453,49.973292995676076,3212
ETHUSDT,trimestre,short-only,0.5314691282200856,0.3006537753111396,-87.28836198088953,29.204545454545453,-22.904812652141793,3212
ETHUSDT,trimestre,long-short,74.32251406482133,1.086493096151222,-76.4245123919491,29.204545454545453,50.88623228445945,3212
SOLUSDT,—,buy&hold,75.03965057682638,1.050117878165923,-96.29315111778183,0.0,0.0,2127
SOLUSDT,settimana,long-only,60.251850690992285,0.9635687320453802,-76.53053147402471,116.69017395392572,-14.78779988583409,2127
SOLUSDT,settimana,short-only,-48.25392371755811,-0.4995594630475928,-98.70464314658489,116.69017395392572,-123.29357429438448,2127
SOLUSDT,settimana,long-short,-17.113390107241557,0.37911150993472187,-95.67360166607514,116.69017395392572,-92.15304068406793,2127
SOLUSDT,mese,long-only,124.20298818304549,1.360943720853626,-57.17342571540222,58.68829337094499,49.163337606219116,2127
SOLUSDT,mese,short-only,-26.437623243288087,-0.04714938600709004,-92.94900260523085,58.68829337094499,-101.47727382011446,2127
SOLUSDT,mese,long-short,64.94279995527314,0.9881820779245767,-84.94080618943866,58.68829337094499,-10.09685062155323,2127
SOLUSDT,trimestre,long-only,140.70391124049038,1.4433459863632847,-54.81481105519042,32.26140103432064,65.66426066366401,2127
SOLUSDT,trimestre,short-only,-20.365999376767917,0.055772985308127715,-92.46157584314052,32.26140103432064,-95.40564995359429,2127
SOLUSDT,trimestre,long-short,91.69434875614843,1.124318352854583,-80.28979776581416,32.26140103432064,16.654698179322054,2127
XRPUSDT,—,buy&hold,-7.918765070584854,0.4085093891520586,-93.52983142563566,0.0,0.0,3120
XRPUSDT,settimana,long-only,33.72070339825741,0.7382628548011856,-65.35115002225116,116.75320512820512,41.63946846884227,3120
XRPUSDT,settimana,short-only,-21.54836338566126,0.14755098871561653,-94.49321749117733,116.75320512820512,-13.629598315076407,3120
XRPUSDT,settimana,long-short,4.900510278785752,0.6206520072815577,-89.43121178761069,116.75320512820512,12.819275349370606,3120
XRPUSDT,mese,long-only,20.985425887503027,0.5988049090804657,-79.74545660067676,68.08653846153845,28.90419095808788,3120
XRPUSDT,mese,short-only,-28.918343406231095,0.012647600963142887,-96.95106533694576,68.08653846153845,-20.99957833564624,3120
XRPUSDT,mese,long-short,-14.009145698895576,0.4269134665751404,-94.22451413723435,68.08653846153845,-6.090380628310722,3120
XRPUSDT,trimestre,long-only,26.86759184981835,0.6708531004800536,-71.145553958187,37.90384615384615,34.78635692040321,3120
XRPUSDT,trimestre,short-only,-28.04733261621689,0.06286205297169689,-97.96086322898341,37.90384615384615,-20.128567545632038,3120
XRPUSDT,trimestre,long-short,-8.709952130309095,0.5013119082128956,-94.53005829282921,37.90384615384615,-0.7911870597242405,3120
DOGEUSDT,—,buy&hold,58.34419753410114,0.8437944435147223,-91.91182106667077,0.0,0.0,2570
DOGEUSDT,settimana,long-only,73.91072243275785,0.8475747950413649,-77.46519462970711,115.46498054474709,15.56652489865671,2570
