k,h,n,cells,obs,chi2_p,cramer_v,null_mean,p_perm,market
1,1,2,4,26251,2.2016214026033646e-06,0.02929437455497989,0.004418113583716578,0.0,Indice CRSP giornaliero 1926-2026
1,1,3,9,26251,1.7653577513946932e-54,0.07000165215339979,0.008238245281821394,0.0,Indice CRSP giornaliero 1926-2026
1,1,5,25,26251,6.943877844529244e-146,0.0836157350099674,0.011789159463134751,0.0,Indice CRSP giornaliero 1926-2026
1,2,2,4,26250,0.003724546119520168,0.017979053652649818,0.004538639293332633,0.0,Indice CRSP giornaliero 1926-2026
1,2,3,9,26250,6.816997440376446e-50,0.06704337343879718,0.007788311205444998,0.0,Indice CRSP giornaliero 1926-2026
1,2,5,25,26250,7.039653427585286e-163,0.08803920277704404,0.012301257686941852,0.0,Indice CRSP giornaliero 1926-2026
1,3,2,4,26249,0.3706986391798007,0.005601380080253866,0.004849745269177006,0.36,Indice CRSP giornaliero 1926-2026
1,3,3,9,26249,3.8722851624131995e-50,0.06720650149300923,0.00831539381616894,0.0,Indice CRSP giornaliero 1926-2026
1,3,5,25,26249,3.863712917814987e-172,0.09035637407034874,0.012220997921924527,0.0,Indice CRSP giornaliero 1926-2026
1,5,2,4,26247,0.47009801369984094,0.004534707401658981,0.004403018457988292,0.42,Indice CRSP giornaliero 1926-2026
1,5,3,9,26247,5.312737612477152e-68,0.07807329621279077,0.008032472815849402,0.0,Indice CRSP giornaliero 1926-2026
1,5,5,25,26247,2.1263687735878173e-183,0.09309516721910457,0.012333579811354167,0.0,Indice CRSP giornaliero 1926-2026
2,1,2,8,26250,2.4845414941882497e-05,0.03024423502576083,0.009015331987442197,0.0,Indice CRSP giornaliero 1926-2026
2,1,3,27,26250,5.83971266445998e-80,0.08974623426635565,0.016800162104063654,0.0,Indice CRSP giornaliero 1926-2026
2,1,5,125,26250,6.352530741142512e-214,0.11205932643675882,0.03004860259646974,0.0,Indice CRSP giornaliero 1926-2026
2,2,2,8,26249,0.026545994189839908,0.018738204230845542,0.010099639160642526,0.03,Indice CRSP giornaliero 1926-2026
2,2,3,27,26249,2.2109529877710113e-89,0.09438172304905622,0.017192640735642216,0.0,Indice CRSP giornaliero 1926-2026
2,2,5,125,26249,9.73916512372177e-243,0.11795425879085523,0.030189380534518407,0.0,Indice CRSP giornaliero 1926-2026
2,3,2,8,26248,0.8000450307919663,0.006187743609153431,0.008988940675889859,0.73,Indice CRSP giornaliero 1926-2026
2,3,3,27,26248,2.52264963031695e-101,0.09993124351292287,0.017015393655525096,0.0,Indice CRSP giornaliero 1926-2026
2,3,5,125,26248,1.0533645640407344e-279,0.12505874877687895,0.03014861860022011,0.0,Indice CRSP giornaliero 1926-2026
2,5,2,8,26246,0.6027102300116411,0.00841046501222898,0.009290590747555868,0.54,Indice CRSP giornaliero 1926-2026
2,5,3,27,26246,2.9592826384392466e-111,0.10431213682088918,0.016788228281803933,0.0,Indice CRSP giornaliero 1926-2026
2,5,5,125,26246,1.6242587996301826e-271,0.12352992707548995,0.03027510001822453,0.0,Indice CRSP giornaliero 1926-2026
3,1,2,16,26249,3.471322984722317e-05,0.035115478358720476,0.015812661403708326,0.0,Indice CRSP giornaliero 1926-2026
3,1,3,81,26249,1.4363372206088546e-90,0.10524907098199235,0.031155144606085115,0.0,Indice CRSP giornaliero 1926-2026
3,1,5,625,26249,3.3531363470332535e-196,0.1415242041877346,0.06898033158268889,0.0,Indice CRSP giornaliero 1926-2026
3,2,2,16,26248,0.02471223923631508,0.02472384288857858,0.014555826869266346,0.01,Indice CRSP giornaliero 1926-2026
3,2,3,81,26248,2.409917023080871e-112,0.11467709582489856,0.03188578705523956,0.0,Indice CRSP giornaliero 1926-2026
3,2,5,625,26248,3.6281360839914616e-242,0.15038919834622422,0.068727039984241,0.0,Indice CRSP giornaliero 1926-2026
3,3,2,16,26247,0.7806900619107616,0.012332734119307274,0.016072698171710517,0.79,Indice CRSP giornaliero 1926-2026
3,3,3,81,26247,9.012498374349695e-136,0.12390961637208958,0.03106270365459038,0.0,Indice CRSP giornaliero 1926-2026
3,3,5,625,26247,2.1048995136040245e-284,0.15788440734343204,0.06862782996730225,0.0,Indice CRSP giornaliero 1926-2026
3,5,2,16,26245,0.5435886232346072,0.015078589165090035,0.01540106403647803,0.52,Indice CRSP giornaliero 1926-2026
3,5,3,81,26245,1.4830205672822973e-147,0.128274356713242,0.03161353699649806,0.0,Indice CRSP giornaliero 1926-2026
3,5,5,625,26245,8.866627208397417e-268,0.1550056061160993,0.06851379516152707,0.0,Indice CRSP giornaliero 1926-2026
1,1,2,4,4997,0.6006905819965083,0.0078045642283439244,0.010700433207775872,0.55,QQQ giornaliero 2006-2026
1,1,3,9,4997,1.224557745987983e-16,0.0898725256459154,0.019614304518417443,0.0,QQQ giornaliero 2006-2026
1,1,5,25,4997,7.85411581532559e-22,0.08363393007135557,0.027327230020127758,0.0,QQQ giornaliero 2006-2026
1,2,2,4,4996,0.7981470620615054,0.004018628851155088,0.010589532611023461,0.79,QQQ giornaliero 2006-2026
1,2,3,9,4996,3.1368248586989683e-21,0.10119927107275628,0.018592553491860748,0.0,QQQ giornaliero 2006-2026
1,2,5,25,4996,8.649815254276134e-31,0.09619610671889064,0.027986636799983037,0.0,QQQ giornaliero 2006-2026
1,3,2,4,4995,0.3579587099578371,0.013407256965601686,0.010647249455392338,0.31,QQQ giornaliero 2006-2026
1,3,3,9,4995,6.153239996286849e-21,0.10052760902410605,0.01919563216383462,0.0,QQQ giornaliero 2006-2026
1,3,5,25,4995,1.0043027052455811e-29,0.0948152946933137,0.027763020812953853,0.0,QQQ giornaliero 2006-2026
1,5,2,4,4993,0.876167931111575,0.0026058589065677006,0.011075670510087983,0.85,QQQ giornaliero 2006-2026
1,5,3,9,4993,3.2237972335309905e-14,0.08329182034681717,0.01936534257152894,0.0,QQQ giornaliero 2006-2026
1,5,5,25,4993,8.228104750482019e-26,0.08950476657405303,0.027946726281527733,0.0,QQQ giornaliero 2006-2026
2,1,2,8,4996,0.7631820131521644,0.01522210289098089,0.02331485690973764,0.76,QQQ giornaliero 2006-2026
2,1,3,27,4996,1.5386393892966836e-18,0.11089114121563234,0.041096325036165046,0.0,QQQ giornaliero 2006-2026
2,1,5,125,4996,1.8955244460428663e-25,0.12598144587702476,0.06950010878596209,0.0,QQQ giornaliero 2006-2026
2,2,2,8,4995,0.8258603567535361,0.013409747317671255,0.02233507062321203,0.85,QQQ giornaliero 2006-2026
2,2,3,27,4995,1.515570546091762e-35,0.14446446288164694,0.038766320483573986,0.0,QQQ giornaliero 2006-2026
2,2,5,125,4995,6.198220216137734e-41,0.14379977552380546,0.0684286660562277,0.0,QQQ giornaliero 2006-2026
2,3,2,8,4994,0.30160268229291326,0.027041359659692843,0.023859738141152543,0.37,QQQ giornaliero 2006-2026
2,3,3,27,4994,5.57281127672094e-33,0.14001507299120328,0.03963914862828919,0.0,QQQ giornaliero 2006-2026
2,3,5,125,4994,2.8091356284600744e-34,0.13663556219014544,0.0699327644431528,0.0,QQQ giornaliero 2006-2026
2,5,2,8,4992,0.89682293025401,0.010947623358348929,0.023232397386851348,0.88,QQQ giornaliero 2006-2026
2,5,3,27,4992,7.278853576689227e-24,0.12263631575551881,0.03955770625132768,0.0,QQQ giornaliero 2006-2026
2,5,5,125,4992,9.74728018783495e-31,0.13257654741766287,0.06908617809014733,0.0,QQQ giornaliero 2006-2026
3,1,2,16,4995,0.5541910844135445,0.03430105623147696,0.03450088387473132,0.51,QQQ giornaliero 2006-2026
3,1,3,81,4995,4.559173956148332e-16,0.13437032115270203,0.07309406451790033,0.0,QQQ giornaliero 2006-2026
3,1,5,475,4256,1.0871378163268077e-18,0.19815873647451698,0.14854753818241737,0.0,QQQ giornaliero 2006-2026
3,2,2,16,4994,0.580117391868733,0.033661537411373496,0.03659650476360252,0.62,QQQ giornaliero 2006-2026
3,2,3,81,4994,9.555590895005176e-34,0.1687066809410674,0.07290518004992079,0.0,QQQ giornaliero 2006-2026
3,2,5,475,4255,9.006880502470896e-26,0.20819672457607413,0.14831098426907913,0.0,QQQ giornaliero 2006-2026
3,3,2,16,4993,0.7524676515461364,0.02912014795858325,0.03529736993151398,0.69,QQQ giornaliero 2006-2026
3,3,3,81,4993,6.212791661087788e-28,0.158674138013662,0.0731275823042234,0.0,QQQ giornaliero 2006-2026
3,3,5,475,4255,6.111256550063624e-24,0.2057528406101164,0.14856725714099414,0.0,QQQ giornaliero 2006-2026
3,5,2,16,4991,0.9546728584631974,0.020465013062129195,0.035037260132726324,0.96,QQQ giornaliero 2006-2026
3,5,3,81,4991,1.1537633402761773e-20,0.14461185410280272,0.07105943002627627,0.0,QQQ giornaliero 2006-2026
3,5,5,475,4253,1.329523900747985e-17,0.19653192789284915,0.1490381444445379,0.0,QQQ giornaliero 2006-2026
1,1,2,4,3209,0.2369136296406656,0.02150193053192559,0.012337169148771447,0.18,BTC giornaliero 2017-2026
1,1,3,9,3209,0.7711418406423186,0.016781019026605226,0.02228896635767582,0.73,BTC giornaliero 2017-2026
1,1,5,25,3209,0.008868359689537055,0.050240303354572316,0.033915579553694834,0.0,BTC giornaliero 2017-2026
1,2,2,4,3208,0.7239548188253238,0.006859136495928027,0.013456378689275858,0.65,BTC giornaliero 2017-2026
1,2,3,9,3208,0.05305797675696447,0.03816183621224094,0.023030914169387517,0.04,BTC giornaliero 2017-2026
1,2,5,25,3208,0.00014727122168769135,0.05910803126640557,0.035423246008225745,0.0,BTC giornaliero 2017-2026
1,3,2,4,3207,0.3679022241787081,0.016523480160518134,0.01296198170757835,0.3,BTC giornaliero 2017-2026
1,3,3,9,3207,0.004246710553530907,0.04872919067436676,0.022320821732619484,0.0,BTC giornaliero 2017-2026
1,3,5,25,3207,1.7197628897104554e-05,0.06291780238301853,0.033667659713841426,0.0,BTC giornaliero 2017-2026
1,5,2,4,3205,0.5607951070060972,0.010898651576395383,0.011570248792590953,0.42,BTC giornaliero 2017-2026
1,5,3,9,3205,0.01636933404191609,0.043511651228594135,0.023115877214276104,0.03,BTC giornaliero 2017-2026
1,5,5,25,3205,0.00032265948321918536,0.057634398197201654,0.034108636229161944,0.0,BTC giornaliero 2017-2026
2,1,2,8,3208,0.6622366159394413,0.02224508926371566,0.02816106945749102,0.66,BTC giornaliero 2017-2026
2,1,3,27,3208,0.2599923271235824,0.05465986635832882,0.04971908707389023,0.22,BTC giornaliero 2017-2026
2,1,5,125,3208,7.846130263910218e-05,0.11076038101156518,0.08754276919167335,0.0,BTC giornaliero 2017-2026
2,2,2,8,3207,0.7524964278372215,0.019360832539878383,0.028289327247754115,0.76,BTC giornaliero 2017-2026
2,2,3,27,3207,0.0005074025627338963,0.08020957613661822,0.05004031231739829,0.0,BTC giornaliero 2017-2026
2,2,5,125,3207,3.1972821258689596e-08,0.12189032034487597,0.08653050404466102,0.0,BTC giornaliero 2017-2026
2,3,2,8,3206,0.6015842418048598,0.024098073488913956,0.027290415185933548,0.53,BTC giornaliero 2017-2026
2,3,3,27,3206,0.024735487597944274,0.06711600761755043,0.05116585637343594,0.06,BTC giornaliero 2017-2026
2,3,5,125,3206,0.0004165256430396278,0.10785238587469646,0.08604963272930656,0.0,BTC giornaliero 2017-2026
2,5,2,8,3204,0.7342463717276352,0.01997574148323075,0.029117066698181565,0.79,BTC giornaliero 2017-2026
2,5,3,27,3204,0.011076471797785209,0.07028755090483851,0.04908038568937804,0.02,BTC giornaliero 2017-2026
2,5,5,125,3204,0.00040864164765087483,0.1079215103138931,0.086318117294375,0.0,BTC giornaliero 2017-2026
3,1,2,16,3207,0.9031622443232119,0.029529972479059113,0.045461907964485786,0.94,BTC giornaliero 2017-2026
3,1,3,81,3207,0.04925587044213901,0.10441021582848348,0.09090528450644329,0.1,BTC giornaliero 2017-2026
3,1,5,195,1403,1.6533645063694606e-06,0.20988971897587524,0.1634570122835198,0.0,BTC giornaliero 2017-2026
