k,h,n,v_full,p_full,v_sign,p_sign,v_mag,p_mag,obs
1,1,5,0.0836157350099674,6.943877844529244e-146,0.026746566384688943,0.0008683729758311626,0.10840607473407247,1.9206056714910023e-190,26251
1,2,5,0.08803920277704404,7.039653427585286e-163,0.008801902055339218,0.7295642954131425,0.10486771342955448,1.1267226434920627e-177,26250
1,3,5,0.09035637407034874,3.863712917814987e-172,0.013518583675690216,0.3087612320670858,0.10037918860068192,4.193450915154726e-162,26249
1,5,5,0.09309516721910457,2.1263687735878173e-183,0.017542747092771777,0.08878155358397329,0.09942917395543643,6.917883024500978e-159,26247
2,1,5,0.11205932643675882,6.352530741142512e-214,0.040338343309414014,0.010722712551588803,0.14487418864256274,1.5685918963639872e-297,26250
2,2,5,0.11795425879085523,9.73916512372177e-243,0.03590569818891203,0.08754002877028794,0.14381521208339731,1.6349048478180278e-292,26249
2,3,5,0.12505874877687895,1.0533645640407344e-279,0.035794044750506224,0.09147615166032853,0.13939377989080165,4.8930727837238696e-272,26248
2,5,5,0.12352992707548995,1.6242587996301826e-271,0.03995594476419166,0.013237533539774554,0.1350681747813327,1.136173933464199e-252,26246
3,1,5,0.1415242041877346,3.3531363470332535e-196,0.08145166111636067,0.0020169351287918874,0.17552033125372543,1.4915736870395591e-297,26249
3,2,5,0.15038919834622422,3.6281360839914616e-242,0.07491931871655472,0.07505291937378365,0.17549650437205466,2.0505593023716413e-297,26248
3,3,5,0.15788440734343204,2.1048995136040245e-284,0.07427896198218752,0.09748213595002704,0.17517320639619013,9.361212001921166e-296,26247
3,5,5,0.1550056061160993,8.866627208397417e-268,0.074907457373247,0.0755634349428329,0.16888224745678415,1.3798133695929247e-264,26245
