name,r2,rho,mae,n,mkt
vol realizzata 20g,0.44190450784646007,0.6601955706046987,4.700586933030982,26213,CRSP
vol realizzata 60g,0.4041169652675548,0.6663461215697392,4.7602559548197005,26173,CRSP
EWMA RiskMetrics,0.4787988180768039,0.6924199993477668,4.427246399661974,26232,CRSP
catena di Markov k=2,0.16390623865249884,0.40229587615746004,5.95847318742728,26230,CRSP
catena di Markov k=3,0.1662381620431234,0.4460912016047007,5.99663622377585,26229,CRSP
vol realizzata 20g,0.3455312873793606,0.5539674653008209,6.544048387678469,4959,QQQ
vol realizzata 60g,0.23472643148800187,0.5100184347134364,6.813977049848122,4919,QQQ
EWMA RiskMetrics,0.3602560359975512,0.5657699147858666,6.1422165457948505,4978,QQQ
catena di Markov k=2,0.08949960555374234,0.3298750873854404,7.344822090981147,4976,QQQ
catena di Markov k=3,0.04779638843991241,0.16891976722384763,7.664928726164752,4975,QQQ
vol realizzata 20g,0.2502354439299379,0.4688088954473187,21.69556848697657,2086,cripto
vol realizzata 60g,0.2651877313294824,0.4942043978283563,20.584097864040956,2046,cripto
EWMA RiskMetrics,0.2963625259704094,0.517060579784675,20.21019793183282,2105,cripto
catena di Markov k=2,0.10483029831446995,0.37720334164934705,24.754355092730858,2103,cripto
catena di Markov k=3,0.1375274578902641,0.3447958028511756,23.686460383439396,2102,cripto
