mkt,sys,cagr,sharpe,dd,ops,irr,irr52,vs
indice CRSP giornaliero,"long in favorevole, flat altrove",6.255702364453963,0.6469969913626996,-66.52133157476324,6.651112316874661,5.847409132704332,5.084002186691594,-4.728699782623179
indice CRSP giornaliero,"long in favorevole, short altrove",1.0155290866957323,0.1450189137008299,-90.80739095465287,6.651112316874661,1.327402140692986,1.0554870691281824,-9.248706774634526
indice CRSP giornaliero,long solo se molto convinto,6.582262510518055,0.6906167742955553,-64.2508189110427,6.74877916440586,5.998593810085365,5.228056277464814,-4.5775151052421466
indice CRSP giornaliero,esposizione = 1 - P(avverso),6.582712964561832,0.6919142630647611,-64.01711775283268,242.4872490504612,5.6454124056496555,4.940464454441315,-4.930696509677856
indice CRSP mensile,"long in favorevole, flat altrove",8.020619211368697,0.6202421539253872,-49.03836703925997,0.4065244667503137,6.847557725537412,5.973713466430583,-3.5628071629162683
indice CRSP mensile,"long in favorevole, short altrove",4.839918294199963,0.3823757014353506,-65.96666558631665,0.4065244667503137,4.100196563207073,3.5142933805172554,-6.3101683252466065
indice CRSP mensile,long solo se molto convinto,6.949358406400652,0.554014378253941,-54.29739674902172,0.5269761606022584,6.0855123488031095,5.285187197041746,-4.32485253965057
indice CRSP mensile,esposizione = 1 - P(avverso),7.483000945659146,0.5933266634365701,-47.96916799585653,11.984943538268507,6.901170669827642,6.256561559649043,-3.509194218626038
QQQ giornaliero,"long in favorevole, flat altrove",15.032652707933858,1.0059544780458967,-23.312557743311014,5.5353260869565215,11.678548772008801,9.820902735250906,-3.7835574531666474
QQQ giornaliero,"long in favorevole, short altrove",8.571804560285523,0.4971007823224801,-43.631797763594335,5.5353260869565215,7.101075928468581,5.562923949640332,-8.361030296706868
QQQ giornaliero,long solo se molto convinto,13.780937470929677,0.9391456230719978,-24.483525968995124,5.991847826086956,10.391025725441244,8.689610211838891,-5.0710804997342045
QQQ giornaliero,esposizione = 1 - P(avverso),14.199343384901653,0.9737061730639233,-21.94833593090122,249.94565217391303,10.984191110351327,9.57715880623742,-4.477915114824121
