i,sym,date,pred,actual
2311,BTCUSDT,2024-02-07 16:00:00,-0.02877813852436939,0.15896764367175598
2316,BTCUSDT,2024-02-12 16:00:00,-0.05252011393367406,0.021293261641277983
2321,BTCUSDT,2024-02-17 16:00:00,-0.09294532020827728,0.012208685349773818
2326,BTCUSDT,2024-02-22 16:00:00,-0.04123899338694825,0.09971222324499784
2331,BTCUSDT,2024-02-27 16:00:00,-0.4073693145473225,0.09558415377485319
2336,BTCUSDT,2024-03-03 16:00:00,-0.008181397885868358,0.087595561353083
2341,BTCUSDT,2024-03-08 16:00:00,-0.13310967680990748,0.07403343187696776
2346,BTCUSDT,2024-03-13 16:00:00,-0.1252080167774885,-0.07083185884575516
2351,BTCUSDT,2024-03-18 16:00:00,-0.05238149266449321,-0.035271191464137486
2356,BTCUSDT,2024-03-23 16:00:00,-0.08389626222544122,0.095083095365738
2361,BTCUSDT,2024-03-28 16:00:00,-0.11749011604745707,-0.08996798981060405
2366,BTCUSDT,2024-04-02 16:00:00,-0.040437960493865166,0.07213607497379604
2371,BTCUSDT,2024-04-07 16:00:00,0.01153105811297106,-0.003016278992867494
2376,BTCUSDT,2024-04-12 16:00:00,0.029589150471331482,-0.1304572283084413
2381,BTCUSDT,2024-04-17 16:00:00,0.03884863230396984,0.09457805550303977
2386,BTCUSDT,2024-04-22 16:00:00,-0.06233618019950782,-0.04615892755414941
2391,BTCUSDT,2024-04-27 16:00:00,-0.0016310302227913187,-0.058604608312498585
2396,BTCUSDT,2024-05-02 16:00:00,0.012418867256771549,0.0755167776628538
2401,BTCUSDT,2024-05-07 16:00:00,-0.05180378801071195,-0.03655680172696463
2406,BTCUSDT,2024-05-12 16:00:00,-0.001397089744299529,0.09423774297080212
2411,BTCUSDT,2024-05-17 16:00:00,-0.10037311055596065,0.04840250598967266
2416,BTCUSDT,2024-05-22 16:00:00,0.0036761940112075564,-0.0011468866569389613
2421,BTCUSDT,2024-05-27 16:00:00,0.006816858874703735,-0.03818203004655352
2426,BTCUSDT,2024-06-01 16:00:00,-0.07250636091079254,0.05345879891672922
2431,BTCUSDT,2024-06-06 16:00:00,-0.058660707523750966,-0.07113244752616321
2436,BTCUSDT,2024-06-11 16:00:00,0.032795553923204324,0.007173453842123534
2441,BTCUSDT,2024-06-16 16:00:00,-0.0319058806520911,-0.04469353305729362
2446,BTCUSDT,2024-06-21 16:00:00,0.03686561481448947,-0.035215875940185826
2451,BTCUSDT,2024-06-26 16:00:00,-0.07814336217062456,0.02703480806766434
2456,BTCUSDT,2024-07-01 16:00:00,-0.04924449426373212,-0.0922031418023791
2461,BTCUSDT,2024-07-06 16:00:00,0.06602464914201289,0.0014933653406652425
2466,BTCUSDT,2024-07-11 16:00:00,0.05195632725700183,0.1303422302276076
2471,BTCUSDT,2024-07-16 16:00:00,-0.048867718340930955,0.03512657154921861
2476,BTCUSDT,2024-07-21 16:00:00,0.009900970521457442,0.005886775598317628
2481,BTCUSDT,2024-07-26 16:00:00,-0.03939930420393434,-0.017420803429100906
2486,BTCUSDT,2024-07-31 16:00:00,-0.011792225457514238,-0.1817840836683693
2491,BTCUSDT,2024-08-05 16:00:00,0.046515715324570106,0.11425126109208739
2496,BTCUSDT,2024-08-10 16:00:00,-0.02605565477026428,-0.014012646243880544
2501,BTCUSDT,2024-08-15 16:00:00,0.07229239071784543,-0.01414978936185185
2506,BTCUSDT,2024-08-20 16:00:00,-0.02101724961075213,0.09012364145677298
2511,BTCUSDT,2024-08-25 16:00:00,-0.004082122155347867,-0.09426430804493746
2516,BTCUSDT,2024-08-30 16:00:00,-0.005079241301990112,0.0007006610659687773
2521,BTCUSDT,2024-09-04 16:00:00,-0.0343712126066813,-0.047219359799892224
2526,BTCUSDT,2024-09-09 16:00:00,-0.05456010794653321,0.08109576970924759
2531,BTCUSDT,2024-09-14 16:00:00,0.1704975277785663,0.054795550084926425
2536,BTCUSDT,2024-09-19 16:00:00,0.037438475953271544,6.0168281182271244e-05
2541,BTCUSDT,2024-09-24 16:00:00,-0.09471239956063959,0.041105129829005715
2546,BTCUSDT,2024-09-29 16:00:00,-0.11090822044157045,-0.05888722280180425
2551,BTCUSDT,2024-10-04 16:00:00,-0.06564878441923594,0.006882231271410966
2556,BTCUSDT,2024-10-09 16:00:00,-0.07241177264768517,0.05726537837486512
2561,BTCUSDT,2024-10-14 16:00:00,-0.02635013570518896,0.035665873788102376
2566,BTCUSDT,2024-10-19 16:00:00,0.021882539093359465,-0.007768105915925694
2571,BTCUSDT,2024-10-24 16:00:00,-0.05463472632748223,0.06943515067720174
2576,BTCUSDT,2024-10-29 16:00:00,-0.0019890401432077764,-0.059370178581541366
2581,BTCUSDT,2024-11-03 16:00:00,0.004723751835536083,0.1221556534508077
2586,BTCUSDT,2024-11-08 16:00:00,-0.06924347313750023,0.21077012462901812
2591,BTCUSDT,2024-11-13 16:00:00,-0.21480675010483585,-0.002078343723250664
2596,BTCUSDT,2024-11-18 16:00:00,-0.09864952230127166,0.06545742435286073
2601,BTCUSDT,2024-11-23 16:00:00,-0.16867448389972473,-0.034345356444379416
2606,BTCUSDT,2024-11-28 16:00:00,-0.13641867915670158,0.007215911004816888
2611,BTCUSDT,2024-12-03 16:00:00,-0.10710389887953975,0.04413699692424755
2616,BTCUSDT,2024-12-08 16:00:00,-0.055172958803728744,-0.00032229941615768976
2621,BTCUSDT,2024-12-13 16:00:00,-0.09011548447107331,0.045581021858344783
2626,BTCUSDT,2024-12-18 16:00:00,-0.07867310858846299,-0.10697394263760529
2631,BTCUSDT,2024-12-23 16:00:00,-0.04272201315085422,0.01273694109674084
2636,BTCUSDT,2024-12-28 16:00:00,-0.03287483680822845,0.021519607895040593
2641,BTCUSDT,2025-01-02 16:00:00,-0.053123850108575676,0.015198519846802094
2646,BTCUSDT,2025-01-07 16:00:00,-0.041120652819809145,-0.029291586517845247
2651,BTCUSDT,2025-01-12 16:00:00,-0.05559895381382263,0.09402896062957344
2656,BTCUSDT,2025-01-17 16:00:00,-0.05242747402743497,0.0016767038156548786
2661,BTCUSDT,2025-01-22 16:00:00,-0.05008846688198254,-0.02962625254347906
2666,BTCUSDT,2025-01-27 16:00:00,-0.04557197521199041,0.009624010769396563
2671,BTCUSDT,2025-02-01 16:00:00,0.03795876202432935,-0.046394636064121864
2676,BTCUSDT,2025-02-06 16:00:00,-0.018896649813126554,-0.003271055881223006
2681,BTCUSDT,2025-02-11 16:00:00,-0.0421176466344122,-0.001098740262337028
2686,BTCUSDT,2025-02-16 16:00:00,-0.06470299318155559,0.012345016592098412
2691,BTCUSDT,2025-02-21 16:00:00,-0.04227429670777694,-0.107533380898991
2696,BTCUSDT,2025-02-26 16:00:00,0.002975177564159104,0.02822182300345255
2701,BTCUSDT,2025-03-03 16:00:00,0.07509687635370033,-0.04035165665159768
2706,BTCUSDT,2025-03-08 16:00:00,0.0641810265503524,-0.061971270201543915
2711,BTCUSDT,2025-03-13 16:00:00,0.06239594759753664,0.006862947118783991
2716,BTCUSDT,2025-03-18 16:00:00,0.016006146132173882,0.044042838182796196
2721,BTCUSDT,2025-03-23 16:00:00,-0.09153400987745619,-0.013410568819400392
2726,BTCUSDT,2025-03-28 16:00:00,0.02475537691177432,0.03213387030570547
2731,BTCUSDT,2025-04-02 16:00:00,-0.020153368955786788,-0.09535528700070528
2736,BTCUSDT,2025-04-07 16:00:00,0.001667839203823629,0.08302869134978152
2741,BTCUSDT,2025-04-12 16:00:00,-0.0005169900242598668,-0.0053131787068126934
2746,BTCUSDT,2025-04-17 16:00:00,0.0015786046654664432,0.07547850483650032
2751,BTCUSDT,2025-04-22 16:00:00,0.016836580666234946,0.032732147825867086
2756,BTCUSDT,2025-04-27 16:00:00,-0.006209325989514625,0.036516755216337016
2761,BTCUSDT,2025-05-02 16:00:00,0.01521892796855262,-0.00404906550937989
2766,BTCUSDT,2025-05-07 16:00:00,0.02093055605702676,0.05759513911096903
2771,BTCUSDT,2025-05-12 16:00:00,0.016089238232307457,0.004193324040846491
2776,BTCUSDT,2025-05-17 16:00:00,0.038758043953375454,0.08128023312287525
2781,BTCUSDT,2025-05-22 16:00:00,-0.05051432699891667,-0.010529313371266835
2786,BTCUSDT,2025-05-27 16:00:00,-0.04472482243973208,-0.04933283823154244
2791,BTCUSDT,2025-06-01 16:00:00,-0.0027072943715088504,0.0036509699470643753
2796,BTCUSDT,2025-06-06 16:00:00,-0.01625332023556003,0.04423745553988723
2801,BTCUSDT,2025-06-11 16:00:00,0.013638119024122597,-0.02102451812548012
2806,BTCUSDT,2025-06-16 16:00:00,0.006655270346997311,-0.036020514538888215
2811,BTCUSDT,2025-06-21 16:00:00,0.0521244101593088,0.03620779386304962
2816,BTCUSDT,2025-06-26 16:00:00,-0.0547352561593798,-0.012617876178761867
2821,BTCUSDT,2025-07-01 16:00:00,0.00027521684681008907,0.0278213206822453
2826,BTCUSDT,2025-07-06 16:00:00,-0.08668677904855293,0.07355896938662143
2831,BTCUSDT,2025-07-11 16:00:00,-0.05427290452886213,0.01868608943459349
2836,BTCUSDT,2025-07-16 16:00:00,-0.09511413415361103,-0.006615115947139483
2841,BTCUSDT,2025-07-21 16:00:00,0.008975618481027015,-0.0016193633941046226
2846,BTCUSDT,2025-07-26 16:00:00,-0.05970559104011375,0.0015872814313468986
2851,BTCUSDT,2025-07-31 16:00:00,-0.03845791178558755,-0.045490812583464324
2856,BTCUSDT,2025-08-05 16:00:00,-0.00045508660979465265,0.05184722106616557
2861,BTCUSDT,2025-08-10 16:00:00,-0.03736986949329468,-0.012699201091028511
2866,BTCUSDT,2025-08-15 16:00:00,0.011151473842179183,-0.03339401510080697
2871,BTCUSDT,2025-08-20 16:00:00,0.007864331972502248,-0.010215936366739897
2876,BTCUSDT,2025-08-25 16:00:00,0.00943900172899359,-0.029698584720687315
2881,BTCUSDT,2025-08-30 16:00:00,0.03680883668575041,0.0057351910551595164
2886,BTCUSDT,2025-09-04 16:00:00,0.0189775737446356,0.012546565585440872
2891,BTCUSDT,2025-09-09 16:00:00,0.01530092928739002,0.03927215592329403
2896,BTCUSDT,2025-09-14 16:00:00,-0.023153203217211704,0.005694126223703355
2901,BTCUSDT,2025-09-19 16:00:00,-0.0031253209135995164,-0.021826008089395943
2906,BTCUSDT,2025-09-24 16:00:00,0.020560034701974095,0.004129654021273854
2911,BTCUSDT,2025-09-29 16:00:00,0.03178085930292829,0.07009989544803585
2916,BTCUSDT,2025-10-04 16:00:00,-0.003785323942898766,-0.005225057616030426
2921,BTCUSDT,2025-10-09 16:00:00,0.021408547943939205,-0.06822888166435981
2926,BTCUSDT,2025-10-14 16:00:00,0.019090829521518193,-0.0391037303821441
2931,BTCUSDT,2025-10-19 16:00:00,0.049483991864859966,0.014528023598820106
2936,BTCUSDT,2025-10-24 16:00:00,-0.015126461187940698,0.013252344261103444
2941,BTCUSDT,2025-10-29 16:00:00,0.023928152280645154,-0.051720628259105395
2946,BTCUSDT,2025-11-03 16:00:00,0.07385772065185847,-0.03803232056920802
2951,BTCUSDT,2025-11-08 16:00:00,-0.028929745461051426,-0.003308917858031113
2956,BTCUSDT,2025-11-13 16:00:00,0.038637579705785186,-0.08366136198878571
2961,BTCUSDT,2025-11-18 16:00:00,-0.013114251928288967,-0.0626664313038311
2966,BTCUSDT,2025-11-23 16:00:00,-0.029548465936950707,0.06053917994214797
2971,BTCUSDT,2025-11-28 16:00:00,-0.017367203546923338,0.00025769819210630374
2976,BTCUSDT,2025-12-03 16:00:00,0.0026056466287580626,-0.026173442491277843
2981,BTCUSDT,2025-12-08 16:00:00,-0.015787568640092453,0.0015417620773214846
2986,BTCUSDT,2025-12-13 16:00:00,0.020370298177483592,-0.01761362564330804
2991,BTCUSDT,2025-12-18 16:00:00,0.04942644118933015,-0.012074966926023945
2996,BTCUSDT,2025-12-23 16:00:00,-0.0034164549619245532,0.00450912517482438
3001,BTCUSDT,2025-12-28 16:00:00,0.011865111191814215,0.017894060965946812
3006,BTCUSDT,2026-01-02 16:00:00,0.003801091308675675,0.02165281676751185
3011,BTCUSDT,2026-01-07 16:00:00,0.06649062092898506,0.003502030718031124
3016,BTCUSDT,2026-01-12 16:00:00,0.006414426854186361,0.04259007340708587
3021,BTCUSDT,2026-01-17 16:00:00,-0.029549693421644596,-0.06872168335582973
3026,BTCUSDT,2026-01-22 16:00:00,0.05805412754822292,-0.010834441907706771
3031,BTCUSDT,2026-01-27 16:00:00,0.040972814999960416,-0.1185612269121945
3036,BTCUSDT,2026-02-01 16:00:00,0.1594926331395643,-0.11561592713486568
3041,BTCUSDT,2026-02-06 16:00:00,0.15205636920980936,-0.0307013070276414
3046,BTCUSDT,2026-02-11 16:00:00,0.1583131097606807,0.015286672078410168
3051,BTCUSDT,2026-02-16 16:00:00,0.06498671506346732,0.0159330400702411
3056,BTCUSDT,2026-02-21 16:00:00,0.0447987639364571,-0.018001894629454118
3061,BTCUSDT,2026-02-26 16:00:00,0.09441263832038671,0.005121713035657338
3066,BTCUSDT,2026-03-03 16:00:00,0.03431088953250594,-0.0076175823072458515
3071,BTCUSDT,2026-03-08 16:00:00,-0.04920495208974984,0.06878543052269781
3076,BTCUSDT,2026-03-13 16:00:00,0.09617753925826933,-0.00506737944091773
