,implicita,realizzata,premio
1990-01-02,17.24,14.68395450823802,2.556045491761978
1990-01-03,18.19,14.73859830513077,3.451401694869231
1990-01-04,19.22,15.244609539112622,3.975390460887377
1990-01-05,20.11,15.355550136677076,4.7544498633229235
1990-01-08,20.26,15.206470990996019,5.053529009003983
1990-01-09,22.2,15.774459103246718,6.425540896753281
1990-01-10,22.44,15.675268418754532,6.764731581245469
1990-01-11,20.05,15.678957873532386,4.371042126467614
1990-01-12,24.64,13.965791062449812,10.674208937550189
1990-01-15,26.34,13.693878924541538,12.646121075458462
1990-01-16,24.18,13.234092337595465,10.945907662404535
1990-01-17,24.16,13.398543204393636,10.761456795606364
1990-01-18,24.34,13.473698824005345,10.866301175994655
1990-01-19,22.5,14.063262779312744,8.436737220687256
1990-01-22,26.7,11.726984267065552,14.973015732934448
1990-01-23,24.72,11.772258916622715,12.947741083377284
1990-01-24,25.39,11.819984771563924,13.570015228436077
1990-01-25,25.63,11.835735718577144,13.794264281422855
1990-01-26,26.28,11.889304437182302,14.3906955628177
1990-01-29,26.44,11.912113162659372,14.52788683734063
1990-01-30,27.25,11.36125521234351,15.88874478765649
1990-01-31,25.36,10.243501354517539,15.11649864548246
1990-02-01,24.87,10.375235900932697,14.494764099067304
1990-02-02,24.32,10.703704031782767,13.616295968217234
1990-02-05,24.54,10.707739257191628,13.832260742808371
1990-02-06,24.69,10.781717859413805,13.908282140586197
1990-02-07,24.29,10.4571812645666,13.8328187354334
1990-02-08,23.77,10.446572643695287,13.323427356304713
1990-02-09,23.69,10.750877173514857,12.939122826485145
1990-02-12,24.38,10.184376269561268,14.195623730438731
1990-02-13,23.76,10.199205851437782,13.56079414856222
1990-02-14,22.05,10.57683317444322,11.473166825556781
1990-02-15,19.71,10.351608570652324,9.358391429347677
1990-02-16,20.78,10.389677569588128,10.390322430411873
1990-02-20,22.78,9.206986477670236,13.573013522329765
1990-02-21,23.89,10.295768062655776,13.594231937344224
1990-02-22,22.54,10.21663349641175,12.323366503588248
1990-02-23,23.69,9.909256278853753,13.780743721146248
1990-02-26,23.56,9.720111110476184,13.839888889523815
1990-02-27,22.69,9.62732361562665,13.06267638437335
1990-02-28,21.99,9.657987367976968,12.33201263202303
1990-03-01,21.9,9.683920693603532,12.216079306396466
1990-03-02,21.34,9.44159308591526,11.89840691408474
1990-03-05,22.03,10.254916869482788,11.775083130517213
1990-03-06,20.55,9.908911140988339,10.641088859011662
1990-03-07,19.1,9.891177887390501,9.2088221126095
1990-03-08,19.74,9.47026082006208,10.269739179937918
1990-03-09,20.3,9.331880839359387,10.968119160640613
1990-03-12,20.07,9.334008785082798,10.735991214917203
1990-03-13,21.05,8.993003947514024,12.056996052485976
1990-03-14,19.65,9.258546322182697,10.391453677817301
1990-03-15,18.81,9.231626075616514,9.578373924383484
1990-03-16,17.62,8.69636475775958,8.92363524224042
1990-03-19,18.29,9.322122076008391,8.967877923991608
1990-03-20,19.06,9.476094132077996,9.583905867922002
1990-03-21,20.1,9.819203633696729,10.280796366303273
1990-03-22,22.74,9.748741457234521,12.991258542765477
1990-03-23,20.46,9.56397616057271,10.896023839427292
1990-03-26,19.59,9.723894281613878,9.866105718386121
1990-03-27,21.01,9.194929037246732,11.81507096275327
1990-03-28,19.77,9.687891411447756,10.082108588552243
1990-03-29,18.46,9.932534419774399,8.527465580225602
1990-03-30,19.73,10.13950886384558,9.590491136154421
1990-04-02,22.84,10.357015013989455,12.482984986010544
1990-04-03,20.44,9.256141744809392,11.183858255190609
1990-04-04,22.03,9.55670863843839,12.47329136156161
1990-04-05,21.21,9.798375375540727,11.411624624459273
1990-04-06,21.76,9.852382452990891,11.90761754700911
1990-04-09,22.3,9.830556444067794,12.469443555932207
1990-04-10,21.69,9.91345146757691,11.77654853242309
1990-04-11,17.73,12.119262353790457,5.610737646209543
1990-04-12,19.8,12.186062530612691,7.613937469387309
1990-04-16,20.75,12.201650707998594,8.548349292001406
1990-04-17,20.38,12.207373181811171,8.172626818188828
1990-04-18,22.67,11.457271926597643,11.212728073402358
1990-04-19,22.46,10.986593648624783,11.473406351375218
1990-04-20,23.33,10.527843083937102,12.802156916062897
1990-04-23,24.16,9.144526231577125,15.015473768422876
1990-04-24,21.7,8.877857849729407,12.822142150270592
1990-04-25,20.86,9.001646516054834,11.858353483945166
1990-04-26,20.25,10.038109383743645,10.211890616256355
1990-04-27,22.19,9.367695554404081,12.82230444559592
1990-04-30,19.52,9.43487360805655,10.085126391943449
1990-05-01,18.43,9.49522195633162,8.93477804366838
1990-05-02,19.32,9.49059534486652,9.82940465513348
1990-05-03,17.81,9.830452685405794,7.979547314594205
1990-05-04,17.28,9.94445171942637,7.335548280573631
1990-05-07,17.65,10.217144415148598,7.432855584851401
1990-05-08,18.49,10.568729346520435,7.921270653479564
1990-05-09,18.64,11.58903274652386,7.050967253476141
1990-05-10,18.59,11.681729324034276,6.908270675965724
1990-05-11,19.81,10.276326191786753,9.533673808213246
1990-05-14,20.14,10.148659024718611,9.991340975281389
1990-05-15,19.49,10.38689944112306,9.103100558876939
1990-05-16,17.71,10.384218795846056,7.3257812041539445
1990-05-17,17.27,11.739318549217526,5.530681450782474
1990-05-18,17.2,11.771066221885027,5.428933778114972
1990-05-21,16.72,11.315486732792486,5.404513267207513
1990-05-22,17.84,11.339666661767565,6.500333338232435
1990-05-23,17.18,11.905064468536189,5.274935531463811
1990-05-24,17.7,12.222919454860321,5.477080545139678
1990-05-25,17.32,11.819634512115968,5.500365487884032
1990-05-29,18.75,11.011250610171532,7.7387493898284685
1990-05-30,17.44,11.300332738464073,6.139667261535928
1990-05-31,17.37,11.319537093008833,6.050462906991168
1990-06-01,17.09,11.19843917695689,5.891560823043109
1990-06-04,18.39,10.39288217964598,7.9971178203540205
1990-06-05,18.97,10.883742003557558,8.086257996442441
1990-06-06,17.42,11.161473021066842,6.25852697893316
1990-06-07,16.88,11.13101612612267,5.748983873877329
1990-06-08,17.58,10.721570780440844,6.858429219559154
1990-06-11,16.34,11.10402089335223,5.23597910664777
1990-06-12,16.6,11.004322786977983,5.595677213022018
1990-06-13,17.38,11.078189382746748,6.301810617253251
1990-06-14,17.4,10.97633272090468,6.423667279095319
1990-06-15,15.9,11.099048607876387,4.800951392123613
1990-06-18,17.71,10.30119798858379,7.408802011416212
1990-06-19,15.23,10.268072847423838,4.961927152576163
1990-06-20,15.27,10.741882516579802,4.528117483420198
1990-06-21,14.72,12.515679765797898,2.204320234202102
1990-06-22,19.36,12.014755927608471,7.345244072391528
1990-06-25,17.06,11.7284935093985,5.331506490601498
1990-06-26,16.29,11.750062127495445,4.539937872504554
1990-06-27,16.0,11.724226200479198,4.2757737995208025
1990-06-28,16.18,11.496074112496098,4.683925887503902
1990-06-29,15.5,11.473505131388706,4.0264948686112945
1990-07-02,16.26,11.390843691316418,4.869156308683584
1990-07-03,16.11,11.96369006619626,4.146309933803739
1990-07-05,17.25,12.970500375853014,4.279499624146986
1990-07-06,16.41,16.49199442153688,-0.08199442153687997
1990-07-09,16.66,16.469167556376476,0.19083244362352403
1990-07-10,16.92,17.24217735670305,-0.3221773567030475
1990-07-11,16.68,16.890030195354992,-0.21003019535499234
1990-07-12,17.06,16.378256317447335,0.6817436825526642
1990-07-13,17.09,16.60017228826266,0.4898277117373411
1990-07-16,16.75,16.512093749733967,0.23790625026603252
1990-07-17,16.66,16.682399108042087,-0.022399108042087335
1990-07-18,18.9,17.71281231199618,1.1871876880038172
1990-07-19,18.56,17.962223693073298,0.5977763069267006
1990-07-20,15.63,17.980999972192972,-2.3509999721929713
1990-07-23,23.68,18.091291827838155,5.588708172161844
1990-07-24,21.79,18.353492310729415,3.4365076892705844
1990-07-25,20.19,20.166391843857546,0.023608156142454817
1990-07-26,20.26,21.533414034936587,-1.273414034936586
1990-07-27,21.12,25.37836401346635,-4.258364013466348
1990-07-30,21.16,25.312031921598148,-4.152031921598148
1990-07-31,21.11,25.607455945485952,-4.497455945485953
1990-08-01,21.64,25.78057873671582,-4.14057873671582
1990-08-02,20.43,26.142498732906223,-5.712498732906223
1990-08-03,28.74,25.673840382771008,3.0661596172289904
1990-08-06,35.91,23.333793519271634,12.576206480728363
1990-08-07,32.75,23.504591891798572,9.245408108201428
1990-08-08,28.27,23.302365545154494,4.967634454845506
1990-08-09,24.39,23.093643281214927,1.2963567187850735
1990-08-10,25.75,22.85546674211671,2.894533257883289
1990-08-13,25.74,22.680050264494632,3.0599497355053664
1990-08-14,24.18,22.801597312469216,1.3784026875307838
1990-08-15,23.31,22.72747676272057,0.5825232372794282
1990-08-16,27.16,21.792379401983695,5.367620598016305
1990-08-17,27.53,21.285597947908418,6.2444020520915835
1990-08-20,26.46,21.32976793122708,5.130232068772919
1990-08-21,28.9,20.951884879408897,7.948115120591101
1990-08-22,30.55,20.317483111842446,10.232516888157555
1990-08-23,36.47,18.52185519865661,17.94814480134339
1990-08-24,33.93,18.134748964350262,15.795251035649738
1990-08-27,29.63,13.974492477367587,15.655507522632412
1990-08-28,29.12,14.539032980222702,14.5809670197773
1990-08-29,27.38,15.467844064380898,11.9121559356191
1990-08-30,29.89,18.228502955536502,11.661497044463498
1990-08-31,29.9,17.854868243703255,12.045131756296744
1990-09-04,29.58,18.162242152333594,11.417757847666405
1990-09-05,28.52,18.10787673914319,10.41212326085681
1990-09-06,30.19,17.876174087315302,12.313825912684699
1990-09-07,28.73,17.71778089942426,11.012219100575741
1990-09-10,29.34,19.491154917038735,9.848845082961265
1990-09-11,28.38,19.987458067498316,8.392541932501683
1990-09-12,28.12,20.387625658717685,7.732374341282316
1990-09-13,29.33,21.116644619825458,8.21335538017454
1990-09-14,30.56,21.542509603108066,9.017490396891933
1990-09-17,29.55,21.803642814906034,7.7463571850939665
1990-09-18,28.82,21.783324815096602,7.036675184903398
1990-09-19,27.88,23.50448978386902,4.37551021613098
1990-09-20,28.66,23.926923747109715,4.733076252890285
1990-09-21,30.04,24.1024812000757,5.937518799924298
1990-09-24,30.56,22.87826042338015,7.681739576619847
1990-09-25,28.81,22.599964601742247,6.210035398257752
1990-09-26,28.19,22.3988955084844,5.7911044915156005
1990-09-27,28.67,22.552469487841076,6.117530512158925
1990-09-28,29.11,22.113629281508786,6.996370718491214
1990-10-01,28.06,19.69631336062673,8.36368663937327
1990-10-02,27.28,19.658552337341707,7.621447662658294
1990-10-03,27.9,19.6466455152019,8.253354484798098
1990-10-04,27.51,20.472427310898013,7.037572689101989
1990-10-05,27.85,20.71610098450002,7.133899015499981
1990-10-08,28.04,20.76417010140311,7.275829898596889
1990-10-09,30.71,19.541448257486003,11.168551742513998
1990-10-10,31.19,18.710122394041214,12.479877605958787
1990-10-11,33.98,18.352959434380118,15.627040565619879
1990-10-12,31.94,18.927307256976686,13.012692743023315
1990-10-15,31.64,18.904707350287183,12.735292649712818
1990-10-16,31.45,18.040138580399045,13.409861419600954
1990-10-17,31.37,18.517209292979388,12.852790707020613
1990-10-18,29.6,17.187816615265664,12.412183384734337
