label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref
azionario buy&hold,10.384451885834679,18.351163235996385,0.6321706916944128,-83.65224657023862,0.12473248802898168,0.0,10.560992243219006,10.151367922682999,1199,10.560992243219006,33
B7 spread Baa-Aaa in-sample w36 z1.0,8.542686670923128,14.133082259977911,0.6522601276064258,-46.50754998419559,0.23180466990685875,0.7306088407005837,6.962682405339585,6.016803781434181,1199,6.962682405339585,33
B7 spread Baa-Aaa in-sample w36 z1.5,8.645856835779298,14.929326440163665,0.6317291303445102,-56.37878490372663,0.12495514692554964,0.6105087572977481,7.314200953123767,6.324056257698571,1199,7.314200953123767,33
B7 spread Baa-Aaa in-sample w36 z2.0,9.885231528306138,15.91988497631597,0.6729313375806688,-48.17686422502885,0.5053531701487151,0.45037531276063386,8.224662308202877,7.1192842384963235,1199,8.224662308202877,33
B7 spread Baa-Aaa in-sample w60 z1.0,7.921331690321809,13.779217590449608,0.625110597843974,-59.110174089767185,-0.7517984349814435,0.6305254378648874,6.937744700611717,6.017447852112811,1199,6.937744700611717,33
B7 spread Baa-Aaa in-sample w60 z1.5,9.83561886393356,15.105377203489443,0.6986951005609741,-49.457332353713724,0.14821036489386827,0.530442035029191,8.31650876908889,7.297521236197868,1199,8.31650876908889,33
B7 spread Baa-Aaa in-sample w60 z2.0,10.132382474805102,15.561368826264246,0.7001174581721592,-50.311966090659865,0.14518737454109346,0.2902418682235196,8.874081822732382,7.943784833083131,1199,8.874081822732382,33
B7 spread Baa-Aaa WALK-FORWARD,9.347769294633679,16.72440038034688,0.620613011389839,-81.37662801977372,-0.22412865569331689,0.3703085904920767,8.48376401077085,7.574438652115561,1199,8.48376401077085,33
azionario buy&hold,12.182260956672986,15.437047395486097,0.826284954189476,-50.31170717166413,-0.6412700207393538,0.0,10.939863297618496,10.05700313043761,600,10.939863297618496,33
curva invertita -> 0% (lag 1m),11.876649753275071,14.153427822906437,0.8681776707203849,-50.31170717166413,-0.6583224498970905,0.54,9.263644788613695,8.091382190407407,600,9.263644788613695,33
curva invertita -> 0% (lag 3m),10.699414243107253,14.302910753411654,0.785996374711242,-50.31170717166413,-0.6253912040585394,0.54,8.345187225073461,7.292667798626818,600,8.345187225073461,33
curva invertita -> 50% (lag 1m),12.084297913665898,14.47675459581245,0.8649414423051687,-50.31170717166413,-0.6544582217916964,0.28,9.710648079296522,8.532909002638592,600,9.710648079296522,33
curva invertita -> 50% (lag 3m),11.488469911749434,14.576388345302188,0.8231612465146112,-50.31170717166413,-0.6510606451723011,0.28,9.222905662916375,8.059610827890907,600,9.222905662916375,33
