label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref
49 settori USA: equal-weight,11.154760580749246,17.19897120197475,0.7045175655362325,-52.62723700824792,-0.4867010182336908,0.0,11.163388980153593,10.39595971996282,683,11.163388980153593,33
49 settori USA: top-1 mensile,5.14891031592839,30.95519295015302,0.3158121852752187,-74.07678475724754,0.3395518148042038,11.200227089371621,5.292370970080672,4.6433164264152476,683,4.6433164264152476,52
49 settori USA: top-1 trimestrale,4.171866727337958,32.8299175830586,0.291366348624547,-91.2201195546332,-0.0338695666999925,3.715600442226671,5.101952268982038,4.39371642020009,683,4.39371642020009,52
49 settori USA: top-1 annuale,6.0212427947236025,31.648119078523496,0.3455171585545598,-83.85823828799876,-0.06064245127356893,0.9396121552574179,4.530349008446745,3.8067449963470987,683,4.530349008446745,33
regioni: equal-weight,7.485995906572995,16.448799864205817,0.5235313085471196,-55.9879174855771,-0.5677309652230094,0.0,6.447193896001632,5.4035193879431285,431,6.447193896001632,33
regioni: top-1 mensile,9.211172482212993,17.2819974045379,0.5968470967418216,-42.28603163151048,0.24665338155817698,8.94431554524362,7.868362925228306,6.745973861231966,431,6.745973861231966,52
regioni: top-1 trimestrale,5.810595145589992,18.15314153150644,0.4039606830425924,-57.25627764487407,-0.4747011747094704,3.0139211136890953,4.774404233125951,4.08232394667286,431,4.08232394667286,52
regioni: top-1 annuale,6.792812950973115,18.548856464697554,0.44955585890906,-61.2028984646114,-0.5114605239994897,0.7587006960556845,5.014425560114723,4.226124420437014,431,5.014425560114723,33
8 cripto: equal-weight,46.621389127088506,105.36327564168381,0.7545827679238303,-76.65086300190869,2.1762225111727904,0.0,47.171136889407585,40.481856859795506,102,47.171136889407585,33
8 cripto: top-1 mensile,19.255350233389535,141.5054673500041,0.5982203127118751,-90.12774163718215,2.6789410326849437,10.161764705882353,15.642554341875293,9.215288994362039,102,9.215288994362039,52
8 cripto: top-1 trimestrale,30.627914300133984,212.99991328072423,0.5683034900919742,-93.33517586691147,5.731307900993457,3.4558823529411766,34.50591801720434,23.051378343901803,102,23.051378343901803,52
8 cripto: top-1 annuale,0.098435021630916,199.27855797678419,0.40931432891390845,-96.25226362909413,6.647814243849422,0.9852941176470589,-33.82234817759283,-33.82234817759283,102,-33.82234817759283,33
top-1 mensile,5.14891031592839,30.95519295015302,0.3158121852752187,-74.07678475724754,0.3395518148042038,11.200227089371621,5.292370970080672,4.6433164264152476,683,4.6433164264152476,52
top-1 trimestrale,4.171866727337958,32.8299175830586,0.291366348624547,-91.2201195546332,-0.0338695666999925,3.715600442226671,5.101952268982038,4.39371642020009,683,4.39371642020009,52
top-1 annuale,6.0212427947236025,31.648119078523496,0.3455171585545598,-83.85823828799876,-0.06064245127356893,0.9396121552574179,4.530349008446745,3.8067449963470987,683,4.530349008446745,33
top-3 mensile,8.4716624896783,21.539575821395594,0.4875781010232266,-48.152088319364275,-0.2792510269931598,10.631427973824964,6.847706769797268,5.8777471103098495,683,5.8777471103098495,52
top-3 trimestrale,7.4704428249038335,22.242642466410626,0.43768122044088575,-69.84528719379887,-0.3292987153106647,3.498192249081184,6.511533430989316,5.652432314254607,683,5.652432314254607,52
top-3 annuale,12.151734408530789,23.405242591001233,0.6109089649287155,-64.1031209197634,-0.3478320407725107,0.8627603310723997,9.123923083614214,7.824301235596776,683,9.123923083614214,33
top-5 mensile,9.748952760031692,19.53972073646066,0.5759918335734034,-49.41178322129601,-0.1935150330425607,10.169217438073327,7.63180126712181,6.593957183028529,683,6.593957183028529,52
top-5 trimestrale,9.95541835677427,19.740922799087198,0.5830293564138137,-61.8396493877436,-0.5115346883852254,3.3592613619386262,8.37191324572952,7.260501603229338,683,7.260501603229338,52
top-5 annuale,12.715176160173524,21.47381869997951,0.6687907252368682,-56.743101602440674,-0.39147740324653385,0.8257328114261812,10.024820854876292,8.662698172131178,683,10.024820854876292,33
top-10 mensile,10.294397398337463,18.116602381526906,0.6345613341527212,-51.1765543823297,-0.4091567801834037,9.099196223145187,8.190579181308777,7.060428216214709,683,7.060428216214709,52
top-10 trimestrale,11.287158886151282,18.446971060600394,0.67612791852493,-59.483560468101906,-0.5968527941222378,3.013105447156901,9.329747040582811,8.057121680212731,683,8.057121680212731,52
top-10 annuale,11.269469733863868,19.163417043526888,0.6571447505606943,-59.90541652493428,-0.5595447447526488,0.7624465891773986,8.912597584547047,7.69392768754808,683,8.912597584547047,33
top-25 mensile,10.806045368043794,16.8449124188247,0.696996693752278,-51.09359186640234,-0.5401239141733958,5.688839752592105,8.616163900163299,7.434558972150565,683,7.434558972150565,52
top-25 trimestrale,11.544213134168402,17.161301383771548,0.7265858319134442,-54.27475538491119,-0.6061888489495485,1.933173573968387,9.362179585790859,8.093631002322873,683,8.093631002322873,52
top-25 annuale,11.487472039571212,17.16157919961277,0.7232861984769843,-50.92727853289147,-0.5152998044176978,0.47982071891714234,9.473432719107205,8.235213052997487,683,9.473432719107205,33
