stress,k,mult,L,irr,vs,dd
k,0.85,1.0,1.0,8.372387013203076,-1.268829308688879,-44.785698348303725
k,0.85,1.0,1.2,9.466946978156715,-0.17426934373524006,-52.4922163452454
k,0.85,1.0,1.5,10.982159816299305,1.34094349440735,-62.54456448182343
k,0.95,1.0,1.0,8.140086686554834,-1.5011296353371204,-45.364851919505924
k,0.95,1.0,1.2,9.187844916105565,-0.45337140578639,-53.12329752637872
k,0.95,1.0,1.5,10.628699251699814,0.9874829298078591,-63.221704197353546
k,1.05,1.0,1.0,7.8779779966556385,-1.7632383252363164,-46.065034957565864
k,1.05,1.0,1.2,8.873028278610024,-0.7681880432819312,-53.88303838737711
k,1.05,1.0,1.5,10.21900314031255,0.577786818420595,-64.031361207601
k,1.15,1.0,1.0,7.586325811128966,-2.0548905107629887,-46.86390785180071
k,1.15,1.0,1.2,8.52205887020381,-1.1191574516881442,-54.746598518059386
k,1.15,1.0,1.5,9.766091485861923,0.12487516396996767,-64.94596342920086
mult,0.85,1.0,1.0,8.372387013203076,-1.268829308688879,-44.785698348303725
mult,0.85,1.0,1.2,9.466946978156715,-0.17426934373524006,-52.4922163452454
mult,0.85,1.0,1.5,10.982159816299305,1.34094349440735,-62.54456448182343
mult,0.85,1.05,1.0,7.606202956974004,-2.035013364917951,-46.98052256842835
mult,0.85,1.05,1.2,8.548249245282753,-1.0929670766092023,-54.8640765348126
mult,0.85,1.05,1.5,9.809637866505385,0.16842154461343029,-65.05428011592403
mult,0.85,1.1,1.0,6.845402915911913,-2.7958134059800415,-49.11653340407626
mult,0.85,1.1,1.2,7.614801075537467,-2.026415246354488,-57.155770165926135
mult,0.85,1.1,1.5,8.642103575160903,-0.9991127467310523,-69.33766773453458
mult,0.85,1.15,1.0,6.065493090003185,-3.5757232318887695,-51.374821247638614
mult,0.85,1.15,1.2,6.691271559768769,-2.9499447621231862,-61.8144969388564
mult,0.85,1.15,1.5,7.490947809851939,-2.1502685120400162,-74.3960361214189
mult,0.85,1.2,1.0,5.301004130483595,-4.34021219140836,-56.497314926044375
mult,0.85,1.2,1.2,5.784187366865404,-3.857028955026551,-66.75477423078084
mult,0.85,1.2,1.5,6.373250495853277,-3.2679658260386777,-78.77139207442177
mult,0.85,1.3,1.0,3.794543554225424,-5.846672767666531,-65.90161441238624
mult,0.85,1.3,1.2,4.008384940680383,-5.632831381211572,-75.60418355491446
mult,0.85,1.3,1.5,4.259850856570055,-5.3813654653219,-86.01039165869172
mult,0.85,1.4,1.0,2.3450751421085068,-7.296141179783448,-73.63503871372843
mult,0.85,1.4,1.2,2.3141246820429133,-7.3270916398490415,-82.33884211947704
mult,0.85,1.4,1.5,2.2003882296568675,-7.440828092235087,-90.96191860758111
