lung,candidato,da,a,extra
10,H5 momentum settoriale,1972,1981,3.243070113088786
10,H5 momentum settoriale,1973,1982,1.98949139362049
10,H5 momentum settoriale,1974,1983,0.7125130979661449
10,H5 momentum settoriale,1975,1984,1.416501500687433
10,H5 momentum settoriale,1976,1985,0.7452074008361791
10,H5 momentum settoriale,1977,1986,0.9881466049426137
10,H5 momentum settoriale,1978,1987,0.4589508932369881
10,H5 momentum settoriale,1979,1988,0.18347958565863998
10,H5 momentum settoriale,1980,1989,-0.2650361247971773
10,H5 momentum settoriale,1981,1990,0.853701368243728
10,H5 momentum settoriale,1982,1991,0.3465148869158359
10,H5 momentum settoriale,1983,1992,0.5414070140290494
10,H5 momentum settoriale,1984,1993,1.1289032956206828
10,H5 momentum settoriale,1985,1994,1.0533143988458846
10,H5 momentum settoriale,1986,1995,0.714723388603268
10,H5 momentum settoriale,1987,1996,0.9771009778559687
10,H5 momentum settoriale,1988,1997,0.531462221271255
10,H5 momentum settoriale,1989,1998,1.8031019377025501
10,H5 momentum settoriale,1990,1999,2.9014845038977484
10,H5 momentum settoriale,1991,2000,1.6545841897865365
10,H5 momentum settoriale,1992,2001,2.251060467416732
10,H5 momentum settoriale,1993,2002,4.413038229889502
10,H5 momentum settoriale,1994,2003,2.0585185400614954
10,H5 momentum settoriale,1995,2004,1.03432144411709
10,H5 momentum settoriale,1996,2005,1.674804120227594
10,H5 momentum settoriale,1997,2006,0.7201358863175287
10,H5 momentum settoriale,1998,2007,0.7528387674957795
10,H5 momentum settoriale,1999,2008,-5.6874777407227635
10,H5 momentum settoriale,2000,2009,-5.776185809932362
10,H5 momentum settoriale,2001,2010,-3.6093535191106145
10,H5 momentum settoriale,2002,2011,-3.2439632334045814
10,H5 momentum settoriale,2003,2012,-2.5958881609902495
10,H5 momentum settoriale,2004,2013,-3.022168703309644
10,H5 momentum settoriale,2005,2014,-1.9595365366183914
10,H5 momentum settoriale,2006,2015,0.21099510720518655
10,H5 momentum settoriale,2007,2016,-0.700955807591269
10,H5 momentum settoriale,2008,2017,-1.255387284284648
10,H5 momentum settoriale,2009,2018,-0.4055752961867718
10,H5 momentum settoriale,2010,2019,-0.13285642367298678
10,H5 momentum settoriale,2011,2020,0.25253879805389445
10,H5 momentum settoriale,2012,2021,-1.1304146032705855
10,H5 momentum settoriale,2013,2022,1.5814159379426016
10,H5 momentum settoriale,2014,2023,0.11722591274681093
10,H5 momentum settoriale,2015,2024,-0.6698436815889259
10,H5 momentum settoriale,2016,2025,-0.11277591621072425
10,H5 momentum settoriale,2017,2026,0.5355482090548023
10,H4 tilt low-vol,1972,1981,-1.06615412982568
10,H4 tilt low-vol,1973,1982,-0.3418966581001932
10,H4 tilt low-vol,1974,1983,-0.5746250248980438
10,H4 tilt low-vol,1975,1984,1.4763630319562235
10,H4 tilt low-vol,1976,1985,2.285295431698046
10,H4 tilt low-vol,1977,1986,3.5375729476406885
10,H4 tilt low-vol,1978,1987,3.4227669126839952
10,H4 tilt low-vol,1979,1988,3.6549178004743297
10,H4 tilt low-vol,1980,1989,3.242965550260223
10,H4 tilt low-vol,1981,1990,3.5241206866003356
10,H4 tilt low-vol,1982,1991,2.0377324671148394
10,H4 tilt low-vol,1983,1992,1.8795750177724813
10,H4 tilt low-vol,1984,1993,1.2110084225542295
10,H4 tilt low-vol,1985,1994,1.3212644414525698
10,H4 tilt low-vol,1986,1995,0.6911095159565903
10,H4 tilt low-vol,1987,1996,0.16249062253752378
10,H4 tilt low-vol,1988,1997,-2.28502482530347
10,H4 tilt low-vol,1989,1998,-2.1623588833862186
10,H4 tilt low-vol,1990,1999,-2.0140224364022785
10,H4 tilt low-vol,1991,2000,-1.3183422598182357
10,H4 tilt low-vol,1992,2001,-1.3155375798526308
10,H4 tilt low-vol,1993,2002,-0.6403818185131245
10,H4 tilt low-vol,1994,2003,-2.1358332617111246
10,H4 tilt low-vol,1995,2004,-2.814438153339829
10,H4 tilt low-vol,1996,2005,-2.8943357264274248
10,H4 tilt low-vol,1997,2006,-1.4855060850066817
10,H4 tilt low-vol,1998,2007,-2.6765114915091255
10,H4 tilt low-vol,1999,2008,-2.554440507005289
10,H4 tilt low-vol,2000,2009,-3.1846212106740035
10,H4 tilt low-vol,2001,2010,-2.872390103055968
10,H4 tilt low-vol,2002,2011,-0.734954220913556
10,H4 tilt low-vol,2003,2012,-1.0816519911187328
10,H4 tilt low-vol,2004,2013,-0.9106834284535292
10,H4 tilt low-vol,2005,2014,0.6030336362243744
10,H4 tilt low-vol,2006,2015,2.139960686628089
10,H4 tilt low-vol,2007,2016,1.0308842579870952
10,H4 tilt low-vol,2008,2017,0.41186136182190936
10,H4 tilt low-vol,2009,2018,1.9900840408432243
10,H4 tilt low-vol,2010,2019,1.8041613071226692
10,H4 tilt low-vol,2011,2020,0.1788589077807643
10,H4 tilt low-vol,2012,2021,-1.3760535502667306
10,H4 tilt low-vol,2013,2022,-0.1904373392243226
10,H4 tilt low-vol,2014,2023,-2.2252729845104957
10,H4 tilt low-vol,2015,2024,-3.0016989290048874
10,H4 tilt low-vol,2016,2025,-4.190574568494843
10,H4 tilt low-vol,2017,2026,-4.56309308236506
10,C1 punteggio misto,1972,1981,-1.7361285719146977
10,C1 punteggio misto,1973,1982,-2.581159304321032
10,C1 punteggio misto,1974,1983,-3.803285143505141
10,C1 punteggio misto,1975,1984,-1.6270453371478926
10,C1 punteggio misto,1976,1985,-1.6945345459466132
10,C1 punteggio misto,1977,1986,-1.042718824547844
10,C1 punteggio misto,1978,1987,0.47807550237318885
10,C1 punteggio misto,1979,1988,0.15464199287216474
10,C1 punteggio misto,1980,1989,-0.1585992823149649
10,C1 punteggio misto,1981,1990,2.0078819696782624
10,C1 punteggio misto,1982,1991,0.6652259498662936
10,C1 punteggio misto,1983,1992,0.6359456809696962
10,C1 punteggio misto,1984,1993,0.3103352332683027
10,C1 punteggio misto,1985,1994,0.1714415696163023
10,C1 punteggio misto,1986,1995,-0.9427379512608276
10,C1 punteggio misto,1987,1996,-1.2119267040722246
10,C1 punteggio misto,1988,1997,-1.2821649318444823
10,C1 punteggio misto,1989,1998,0.0662792809762891
10,C1 punteggio misto,1990,1999,0.31146965492665224
10,C1 punteggio misto,1991,2000,-0.49615394009225255
10,C1 punteggio misto,1992,2001,-0.18479619755860455
10,C1 punteggio misto,1993,2002,0.5427415458814489
10,C1 punteggio misto,1994,2003,-1.0850874974547597
10,C1 punteggio misto,1995,2004,-1.369367912148788
10,C1 punteggio misto,1996,2005,-1.4543185268027283
10,C1 punteggio misto,1997,2006,-2.198796756355791
10,C1 punteggio misto,1998,2007,-2.3697497607837574
10,C1 punteggio misto,1999,2008,-2.1013293844302914
10,C1 punteggio misto,2000,2009,-1.8198601430673156
10,C1 punteggio misto,2001,2010,-2.0038889545751966
10,C1 punteggio misto,2002,2011,-0.6524317053977793
10,C1 punteggio misto,2003,2012,-1.1282757865144264
10,C1 punteggio misto,2004,2013,-1.2884067650076405
10,C1 punteggio misto,2005,2014,0.0043540120194229814
10,C1 punteggio misto,2006,2015,1.4610128089905006
10,C1 punteggio misto,2007,2016,-0.4235685414722603
10,C1 punteggio misto,2008,2017,-1.2588614627158101
10,C1 punteggio misto,2009,2018,0.7807479079755799
10,C1 punteggio misto,2010,2019,0.16357383129994574
10,C1 punteggio misto,2011,2020,-0.9507854723580031
10,C1 punteggio misto,2012,2021,-2.6633104363320914
10,C1 punteggio misto,2013,2022,-1.0069826773945447
10,C1 punteggio misto,2014,2023,-2.309965885859519
10,C1 punteggio misto,2015,2024,-2.306801558885785
10,C1 punteggio misto,2016,2025,-3.436962104616372
10,C1 punteggio misto,2017,2026,-3.192693749769724
20,H5 momentum settoriale,1972,1991,0.426712087214975
20,H5 momentum settoriale,1973,1992,0.12200540412117178
20,H5 momentum settoriale,1974,1993,0.14058344793426691
20,H5 momentum settoriale,1975,1994,0.2535200045246082
20,H5 momentum settoriale,1976,1995,-0.05283289188788309
20,H5 momentum settoriale,1977,1996,-0.09104410463159418
20,H5 momentum settoriale,1978,1997,-0.3954904911323158
20,H5 momentum settoriale,1979,1998,0.24598945576466136
20,H5 momentum settoriale,1980,1999,0.8142483933598044
20,H5 momentum settoriale,1981,2000,0.48826573086285663
20,H5 momentum settoriale,1982,2001,0.9262937010314385
20,H5 momentum settoriale,1983,2002,2.3814452899436347
20,H5 momentum settoriale,1984,2003,1.217900686245665
20,H5 momentum settoriale,1985,2004,0.801091989071196
20,H5 momentum settoriale,1986,2005,1.23942087176985
20,H5 momentum settoriale,1987,2006,0.8877891926815416
20,H5 momentum settoriale,1988,2007,0.9518333747067143
20,H5 momentum settoriale,1989,2008,-1.1819501400545205
20,H5 momentum settoriale,1990,2009,-1.7782023504009938
20,H5 momentum settoriale,1991,2010,-1.2509217002453834
20,H5 momentum settoriale,1992,2011,-1.2162956415977817
20,H5 momentum settoriale,1993,2012,-0.9990507316228596
20,H5 momentum settoriale,1994,2013,-1.4758666369840139
20,H5 momentum settoriale,1995,2014,-1.1925228412516367
20,H5 momentum settoriale,1996,2015,-0.2757395504128066
20,H5 momentum settoriale,1997,2016,-0.9274653634263768
20,H5 momentum settoriale,1998,2017,-1.39583662341275
20,H5 momentum settoriale,1999,2018,-1.1339774232522863
20,H5 momentum settoriale,2000,2019,-1.270482026936274
20,H5 momentum settoriale,2001,2020,-1.10322896133638
20,H5 momentum settoriale,2002,2021,-1.7759519055261404
20,H5 momentum settoriale,2003,2022,-0.29030523428293087
20,H5 momentum settoriale,2004,2023,-0.8025653278329319
20,H5 momentum settoriale,2005,2024,-1.084549869470539
20,H5 momentum settoriale,2006,2025,-0.7975077823622865
20,H5 momentum settoriale,2007,2026,-0.5197920582129107
20,H4 tilt low-vol,1972,1991,0.3172035074224855
20,H4 tilt low-vol,1973,1992,0.31218923573233504
20,H4 tilt low-vol,1974,1993,0.20254314418692765
20,H4 tilt low-vol,1975,1994,0.533959146944289
20,H4 tilt low-vol,1976,1995,0.25743081667584633
20,H4 tilt low-vol,1977,1996,-0.037267356370907834
