candidato,n,quota,media,mediana,scarto,minimo,massimo,rotazione
momentum 12-2 top-5 annuale,46,0.717391304347826,2.1397083646502337,1.7189720699661537,-0.42073629468408,-3.5387633651755923,11.609116575673312,0.962479423532668
momentum 12-2 top-10 annuale,46,0.6956521739130435,1.5243309326144203,1.3671257741787113,-0.15720515843570904,-2.423612547899845,7.1583672576514585,0.9012615958047842
low-vol 36m top-25,46,0.6739130434782609,0.2567461439948649,0.6561225435990894,0.3993763996042245,-4.611063609820205,2.4792632502807077,0.5161877836254841
low-vol 36m top-10,46,0.6086956521739131,-0.5937447844124509,0.4378375535282917,1.0315823379407427,-8.21376853117457,3.397444066985999,0.8697048184191334
inverse-volatility (tutti),46,0.5652173913043478,0.2939109752880614,0.2274245864308586,-0.06648638885720282,-4.948953047072983,2.9309319783673775,0.2096161496284769
momentum 12-2 top-3,46,0.45652173913043476,1.7996579678331945,-0.20423258196913974,-2.0038905498023345,-4.266330172041804,14.630940678783563,3.8154457524688588
momentum 12-2 top-5,46,0.45652173913043476,1.1450371376123578,-0.18630970346831166,-1.3313468410806695,-2.7340083654201983,11.218445951353608,3.433842298014334
equal-weight mensile,46,0.45652173913043476,0.2974011897949381,-0.11091818510596507,-0.4083193749009032,-4.9344150012288175,3.4200647211917072,0.20502103292714427
equal-weight annuale,46,0.45652173913043476,0.2974011897949381,-0.11091818510596507,-0.4083193749009032,-4.9344150012288175,3.4200647211917072,0.20337239647610167
filtro di tendenza 10m su EW,46,0.45652173913043476,0.21556394307685373,-0.18754130724257312,-0.40310525031942684,-5.003573535431215,3.308424414821001,0.1597234638900056
high-vol 36m top-10,46,0.43478260869565216,-0.10732368375242649,-0.6828877670417866,-0.57556408328936,-7.528525579429888,6.837644690310795,0.8196469663788674
momentum 12-2 top-10,46,0.41304347826086957,0.2550553785171575,-0.6014450969531779,-0.8565004754703354,-3.131410577562983,7.4910380180759555,2.8295874088409887
low-vol 36m top-5,46,0.34782608695652173,-1.7252252051007615,-0.4870333759326182,1.2381918291681433,-10.374454465134356,4.337938367300442,1.0439889815894343
momentum 12-2 top-25,46,0.32608695652173914,-0.6811518432477096,-0.9810926864986973,-0.2999408432509877,-4.636326076808121,4.7105680621895445,1.6518929901789134
momentum 12-2 top-1,46,0.30434782608695654,-0.9469595414092472,-2.5739704173289644,-1.627010875919717,-12.7941891878407,13.655637285801719,4.682284040995608
momentum 1 mese top-10,46,0.30434782608695654,-1.3222458068069864,-1.7232470582816535,-0.40100125147466703,-7.960022109834981,5.647096709024378,9.108299058915618
momentum 6-2 top-10,46,0.2826086956521739,-1.0272281745339853,-1.8782779101648863,-0.851049735630901,-6.22685896937999,6.234719174087522,4.203643616828798
punteggio misto mom+lowvol,46,0.2826086956521739,-1.0506491301089824,-0.7103554196837001,0.34029371042528234,-5.835623343196258,3.24793748735648,2.4089130128176124
momentum 3-2 top-10,46,0.2391304347826087,-2.0426200576706233,-1.683788096731301,0.35883196093932224,-5.89296815667991,2.34575594341879,6.543117674477288
low-vol 12m top-10,46,0.21739130434782608,-2.48618563031948,-2.3772148979642846,0.10897073235519539,-9.099018953579503,1.2148297296237596,1.9862206578374995
reversione 1 mese top-10,46,0.06521739130434782,-5.906440913112207,-6.329865688152864,-0.42342477504065723,-10.704814212958153,0.42318348753740676,9.084409868808613
