candidato,benchmark,giro,margine_orig,margine_vero,dentro,flip,irr_orig,irr_vero,rot_orig,rot_vera,rate_orig,rate_vero
HRP annuale,EW annuale,31 (A2),-0.3030867657326741,-1.3181314320557576,True,False,9.619913335071487,9.334277630843543,0.1381018509504948,0.318347605676149,33,33
inverse-variance annuale,EW annuale,31/34,0.2714713091296943,-1.1070387863978013,True,True,10.194471409933856,9.5453702765015,0.05046423055630102,0.22504262841608247,33,33
H5 momentum top-10 mensile,EW mensile,05/43,-0.8599713821708264,0.45997251021624663,True,True,10.303417597982758,10.272769757485253,2.6775988286969254,2.8295874088409887,52,52
C1 punteggio misto top-10,EW mensile,11/43,-2.666044318624701,-1.3276588941423473,False,False,8.497344661528883,8.48513835312666,2.3444518390345626,2.4089130128176124,52,52
H4 low-vol 36m top-10,EW mensile,04/43,-2.667952345483995,-1.355527464834326,False,False,8.49543663466959,8.45726978243468,0.7572474377745241,0.8697048184191334,33,33
low-vol 36m top-25 annuale,EW annuale,04,-0.10615551253140154,-1.1796529475500073,True,False,9.81684458827276,9.472756115349293,0.1261493411420205,0.2686504700274556,33,33
momentum top-5 annuale,EW mensile,50 (F2),1.083041527593144,2.3472584468789055,True,False,12.246430507746728,12.160055694147912,0.7713030746705711,0.962479423532668,33,33
momentum top-10 annuale,EW mensile,50 (F2),-0.11424883499926608,1.167001360619512,True,True,11.049140145154318,10.979798607888519,0.7185944363103953,0.9012615958047842,33,33
momentum top-25 annuale,EW mensile,50 (F2),-0.8918059092059334,0.36562618046276896,True,True,10.271583070947651,10.178423427731776,0.44450951683748174,0.6195263013096107,33,33
momentum top-25 mensile,EW mensile,50 (F2),-1.8604587421621819,-0.5419801736225782,False,False,9.302930237991403,9.270817073646429,1.495168374816984,1.6518929901789134,52,52
filtro di tendenza 10m,EW mensile,G1,-5.332319356985757,-3.6225108117704456,False,False,5.831069623167827,6.190286435498561,0.8345534407027816,0.1597234638900056,33,33
