label,cagr,vol,sharpe,dd,skew,turn,irr,irr52,n,irr_ref,rate_ref,lam,variante,corr,salti,espo
lam=0 long/cash,7.613391263124214,9.933867701146777,0.7910058099108488,-25.095091363659883,-0.6525419770546631,3.7392438070404173,5.771045085530148,4.955101459835881,767,4.955101459835881,52,0.0,long/cash,0.6101024229535823,3.723598435462842,0.5919165580182529
lam=0 long/short,2.4425071329154946,15.11247797193859,0.23577743055575354,-52.95835690389505,-0.1864069078935178,3.7392438070404173,1.3779894720439783,1.1274927577933969,767,1.1274927577933969,52,0.0,long/short,0.6101024229535823,3.723598435462842,0.5919165580182529
"lam=0 long/short 0,5",5.165473206068771,11.486964715403678,0.49712559300943143,-39.06225095205712,-0.37491946478337546,3.7353324641460235,3.756176005230322,3.206107114935634,767,3.206107114935634,52,0.0,"long/short 0,5",0.6101024229535823,3.723598435462842,0.5919165580182529
lam=5 long/cash,7.231827437875293,9.51807802099074,0.7838212664632783,-25.60622355782214,-0.758984365753041,3.426336375488918,5.593899304572194,4.821521633153146,767,4.821521633153146,52,5.0,long/cash,0.6059146327047193,3.410691003911343,0.5723598435462842
lam=5 long/short,1.5830008049888322,15.11902360398494,0.17998168390528912,-57.31236375617013,-0.18994393699158396,3.426336375488918,1.1106121887509721,0.9347569152487464,767,0.9347569152487464,52,5.0,long/short,0.6059146327047193,3.410691003911343,0.5723598435462842
"lam=5 long/short 0,5",4.549123970165203,11.222517242982097,0.4536245779584462,-35.59948747459348,-0.4098540610930771,3.4224250325945245,3.4559880009250463,2.9381742899001826,767,2.9381742899001826,52,5.0,"long/short 0,5",0.6059146327047193,3.410691003911343,0.5723598435462842
lam=10 long/cash,7.358684619003686,9.963749078760848,0.7649662936250636,-24.37092780520772,-0.5902479254700397,2.7379400260756195,5.735295941516039,4.942758244416294,767,4.942758244416294,52,10.0,long/cash,0.6009818581091984,2.7222946544980444,0.5814863102998696
lam=10 long/short,1.948368467195194,15.126573174724475,0.2036013946762089,-49.833347133952856,-0.13850428015980337,2.7379400260756195,1.449673701964967,1.2360728692520806,767,1.2360728692520806,52,10.0,long/short,0.6009818581091984,2.7222946544980444,0.5814863102998696
"lam=10 long/short 0,5",4.7868719070531585,11.513440155620616,0.46474917373896757,-32.17766055730449,-0.3192632279348838,2.7340286831812257,3.7111129715854285,3.160171126602472,767,3.160171126602472,52,10.0,"long/short 0,5",0.6009818581091984,2.7222946544980444,0.5814863102998696
lam=25 long/cash,7.275132006420981,10.056139116738514,0.751427653220446,-24.41267279125279,-0.9222365028220393,0.8761408083441982,5.339196609183381,4.60510510184347,767,5.339196609183381,33,25.0,long/cash,0.5084288292110717,0.8604954367666232,0.5749674054758801
lam=25 long/short,1.7890430112326605,15.118821893432868,0.1937024474374649,-69.24438143666379,-0.3310942353538698,0.8761408083441982,-0.45243730892475154,-0.7230524615830035,767,-0.45243730892475154,33,25.0,long/short,0.5084288292110717,0.8604954367666232,0.5749674054758801
"lam=25 long/short 0,5",4.6630137885295575,11.569181915903071,0.45314413310700297,-44.05846632478596,-0.5631613312382164,0.8722294654498045,2.7944828095409537,2.302571377668338,767,2.7944828095409537,33,25.0,"long/short 0,5",0.5084288292110717,0.8604954367666232,0.5749674054758801
lam=50 long/cash,6.667283886227748,9.889720929842555,0.7043866853146716,-24.264120371127596,-0.6884950805168302,0.1877444589308996,4.8323107590521674,4.212843962736086,767,4.8323107590521674,33,50.0,long/cash,0.10425905650612023,0.17209908735332466,0.48891786179921776
lam=50 long/short,0.32891114490927187,15.130174841374433,0.09771092053483195,-84.02314088890024,-0.11552054509664811,0.1877444589308996,-2.37102541614663,-2.6025674955076497,767,-2.37102541614663,33,50.0,long/short,0.10425905650612023,0.17209908735332466,0.48891786179921776
"lam=50 long/short 0,5",3.619248942291553,11.467639747053324,0.36819132979096497,-51.55060250874972,-0.3365898675280362,0.18383311603650587,1.7274941354033937,1.3773967306188,767,1.7274941354033937,33,50.0,"long/short 0,5",0.10425905650612023,0.17209908735332466,0.48891786179921776
lam=100 long/cash,8.566131110148788,13.28174375749227,0.687895686297534,-46.50754998419559,-0.49445226864928793,0.0938722294654498,7.115156823663346,6.458939760496987,767,7.115156823663346,33,100.0,long/cash,0.06711562535803448,0.07822685788787484,0.7744458930899609
lam=100 long/short,5.6635224923077265,15.063050389843127,0.44238906735999567,-70.99075618836581,-0.33370685977183623,0.0938722294654498,3.634581957497392,2.8451336731269894,767,3.634581957497392,33,100.0,long/short,0.06711562535803448,0.07822685788787484,0.7744458930899609
"lam=100 long/short 0,5",7.170362529506158,13.772972189623953,0.5735938050739233,-46.50754998419559,-0.4027427651683777,0.08996088657105607,5.627541584645844,5.008090064844003,767,5.627541584645844,33,100.0,"long/short 0,5",0.06711562535803448,0.07822685788787484,0.7744458930899609
lam=200 long/cash,9.306184359606572,13.997404838119271,0.7086182619641277,-50.311707171664146,-0.4916977318828178,0.07822685788787484,8.095000567510368,7.524106366974209,767,8.095000567510368,33,200.0,long/cash,0.006239211053104953,0.06258148631029987,0.8435462842242504
lam=200 long/short,7.535767303638563,15.005047467008161,0.5612088076648379,-65.44430431079921,-0.3927200246148842,0.07822685788787484,6.01225026901088,5.122828609700406,767,6.01225026901088,33,200.0,long/short,0.006239211053104953,0.06258148631029987,0.8435462842242504
"lam=200 long/short 0,5",8.454989994885032,14.272301228401169,0.6424956001424299,-52.59077930002223,-0.43876401136791165,0.0743155149934811,7.148040551758925,6.552341160691514,767,7.148040551758925,33,200.0,"long/short 0,5",0.006239211053104953,0.06258148631029987,0.8435462842242504
