k,d_irr,d_mont,d_irr_max,r_irr,r_mont,versato
1,-0.09625315244518085,-21.12623361813445,1.0187979986241915,-0.0004579897444747516,-0.27295830647069974,108000.0
2,-0.1260321907919879,-19.092109955715657,0.8567868479741936,-0.004268445631974593,-3.3836923934773724,108000.0
3,-0.08562511886910329,-16.898452264678816,0.8300818670046137,-0.006435170286398062,-6.572414147407524,108000.0
4,-0.025861748071813295,-15.244667692831227,0.6604591238605266,-0.00561860761130939,-9.168127726540288,108000.0
5,-0.02155883986810725,-13.928681647910535,0.7102104398760076,-0.02733971902874055,-11.863974080675222,108000.0
6,0.012186636633795267,-12.4194209043614,0.6683804687119608,-0.05153304738584685,-14.286432900340007,108000.0
7,0.02292387906283677,-11.163391766486336,0.5100578323670781,-0.07190213270588997,-17.161118068126903,108000.0
8,0.03620464936035983,-10.034560989274699,0.37365377423814294,-0.05290459981730944,-19.534950742497337,108000.0
9,0.04372355907929304,-9.007663692348306,0.3591390889723467,-0.03765445630632103,-21.562792037004634,108000.0
10,0.034411469185947396,-8.311377280049975,0.3352627003036348,-0.02396389488400885,-23.466874668255066,108000.0
11,0.03694148756654503,-7.469207135316752,0.3312657516553763,-0.036981547255231284,-25.16642063148001,108000.0
12,0.03201989029556351,-6.688122678174457,0.2999210178720979,-0.0618060092342585,-26.891143743392192,108000.0
13,0.019218904178647023,-6.12910337230963,0.22030157532165262,-0.007645621479682063,-28.232227796801734,108000.0
14,0.022624298579283497,-5.525317414567982,0.23053612517459854,-0.044285533310328695,-29.54400749429653,108000.0
15,0.02936936296060466,-5.0735574345338765,0.27615157073425145,0.02809624672453026,-31.08744588994206,108000.0
16,0.024501332545527887,-4.740004514307106,0.2854429603359163,0.1150580361876603,-32.209906250989135,108000.0
17,0.015270241938604379,-4.396048869322194,0.20186816122309637,0.12822723761165644,-33.32627697939256,108000.0
18,0.00876252688342305,-4.054258490706869,0.1727150547105465,0.0867148160907254,-34.21246074581205,108000.0
