nome,margine,calendari,quota,med_ex,mese,dsr,g1,g2,g3,g4,passa
momentum 12-2 top-5 annuale,-0.20350805293928786,5,0.6551724137931034,0.6667409704636764,9,0.8229445152584169,False,False,False,False,False
momentum 12-2 top-10 annuale,-0.07240079882596717,5,0.6206896551724138,1.1878286165784289,9,0.8184183499192619,False,False,False,False,False
momentum 12-2 top-25 annuale,-0.3532670344290052,1,0.6896551724137931,0.9043084197396798,6,0.7990785184347498,False,False,True,False,False
momentum 6-2 top-10 annuale,0.13384307473859725,9,0.8620689655172413,1.2523105411427693,2,0.8360912711268997,False,False,True,False,False
low-vol 36m top-10 annuale,-1.124014054180841,0,0.4827586206896552,-0.14818657048455997,6,0.70098314032556,False,False,False,False,False
low-vol 36m top-25 annuale,-0.6101944017490766,0,0.6206896551724138,0.3631233978588586,6,0.7374315699006542,False,False,False,False,False
punteggio misto top-10 annuale,-0.5518473302683224,3,0.5172413793103449,0.5803242710272372,7,0.8373772970692286,False,False,False,False,False
momentum 12-2 top-5 mensile,0.5560658079658474,12,0.6551724137931034,1.4259535739239162,0,0.9710926564002884,False,True,False,True,False
H5 momentum top-10 mensile,-0.24237456722949524,12,0.5862068965517241,0.9419086831670747,0,0.9683666848885178,False,True,False,True,False
momentum 12-2 top-25 mensile,-1.289348583288083,12,0.2413793103448276,-0.8485402539444742,0,0.9356502747692325,False,False,False,True,False
H4 low-vol 36m top-10 mensile,-1.558156647645406,12,0.3793103448275862,-1.611825029227738,0,0.7529389943416185,False,False,False,True,False
C1 punteggio misto top-10 mensile,-1.7498979417035265,12,0.1724137931034483,-1.0751922262851785,0,0.8786295962504097,False,False,False,True,False
