top,k,ritardo,irr,margine,rot,aliq
5,1,0,10.739860504828307,0.6518400562284388,3.3022588547404883,52
5,2,0,9.220264863256192,-0.8677555853436765,3.3000926604017837,52
5,3,0,11.271673640530208,1.1836531919303397,3.2835892878566164,52
5,4,0,9.70118044670489,-0.3868400018949778,3.2736852987994745,52
5,6,0,7.33512557942139,-2.752894869178479,3.251193881003169,52
10,1,0,9.863395177137054,-0.22462527146281452,2.7592361615849885,52
10,2,0,9.244540015252575,-0.8434804333472936,2.7584300805909407,52
10,3,0,9.163253673616225,-0.9247667749836435,2.754284844535292,52
10,4,0,9.036155456192063,-1.0518649924078058,2.7458952203094307,52
10,6,0,8.069141422081536,-2.0188790265183325,2.737330683267776,52
5,2,20,11.085236135589946,0.8561727295074828,3.2840362287429974,52
10,2,20,9.021187486183537,-1.2078759198989264,2.7537102392401858,52
