mese,bench,margine
1,10.827526586212443,-0.9362780138166436
2,10.709246135122513,-0.8179975627267133
3,10.897523729274905,-1.0062751568791057
4,10.934209690225702,-1.0429611178299023
5,10.917295066783952,-1.0260464943881527
6,10.849044557213288,-0.9577959848174888
7,10.755903918107077,-0.8646553457112773
8,10.794075270554288,-0.9028266981584885
9,10.821951326793839,-0.9307027543980393
10,10.9106537515028,-1.0194051791070002
11,10.815437904272585,-0.9241893318767858
12,10.849998293342397,-0.9587497209465976
