,12-1 top-3,12-2 top-3,12-3 top-3,12-4 top-3,12-6 top-3,12-1 top-5,12-2 top-5,12-3 top-5,12-4 top-5,12-6 top-5,12-1 top-10,12-2 top-10,12-3 top-10,12-4 top-10,12-6 top-10,12-1 top-25,12-2 top-25,12-3 top-25,12-4 top-25,12-6 top-25
12-1 top-3,1.0,0.8655890716058328,0.8138773751198383,0.7469585996223562,0.6350137716193168,0.9266323156093075,0.8617555741814846,0.8295439553841034,0.7242050571613758,0.6491141406610402,0.8350360694553765,0.7900639854626216,0.7645482729819575,0.7128675740020661,0.6340090266244813,0.616644840336099,0.5950375548839069,0.5667966493251397,0.5449959512788775,0.4791648544071367
12-2 top-3,0.8655890716058328,1.0,0.8839244675887823,0.7889239577397131,0.6656274586694714,0.8518258133940445,0.9157324748068574,0.877347709706049,0.7614620680833666,0.6778231232452836,0.8111756010270441,0.8336620233557531,0.8026073754335483,0.7440449253426328,0.6488400478993029,0.6324823182420896,0.638777662935425,0.6061036514654674,0.5606089048948288,0.5102797249096361
12-3 top-3,0.8138773751198383,0.8839244675887823,1.0,0.8106967349784883,0.7016332228132041,0.8058269937748926,0.8797786497477541,0.9227519929622092,0.7786568050349619,0.6868859297648688,0.7863113128497377,0.821375059488122,0.8176394567796854,0.7671920945214402,0.6711981045766889,0.6215921023054535,0.6373419151089801,0.6163975566451826,0.574351466103682,0.5146235783162906
12-4 top-3,0.7469585996223562,0.7889239577397131,0.8106967349784883,1.0,0.7868717882343361,0.7288605074126459,0.7891597528291344,0.8334746925324521,0.9089104971495683,0.7954948778805477,0.704593961390955,0.7500495879710481,0.791516209547268,0.8053552773993935,0.756945241802295,0.5745162805139791,0.593664965207541,0.6167511801705962,0.615248037383412,0.5808526625932844
12-6 top-3,0.6350137716193168,0.6656274586694714,0.7016332228132041,0.7868717882343361,1.0,0.6348854640753667,0.6828629972435935,0.7372451193571429,0.7994173585275051,0.904597641409509,0.6130162480523571,0.6678936913550737,0.7047829041899184,0.7564303183845673,0.8165309847195349,0.5179976951239259,0.5451346204725104,0.5719742687971419,0.5895245660796877,0.5988548216434667
12-1 top-5,0.9266323156093075,0.8518258133940445,0.8058269937748926,0.7288605074126459,0.6348854640753667,1.0,0.8966412746019682,0.8438887022321988,0.7589846220330951,0.6748081011545618,0.9076028205690797,0.8513747064820065,0.8262406852485153,0.7703772730942041,0.6890000339355121,0.701318953180204,0.677510673379355,0.6464414532901395,0.6219622164075743,0.5566892914985576
12-2 top-5,0.8617555741814846,0.9157324748068574,0.8797786497477541,0.7891597528291344,0.6828629972435935,0.8966412746019682,1.0,0.9129015403465285,0.7956492444597573,0.7066934028953961,0.8773359931112564,0.9110624920720992,0.8783200190360431,0.8122186912503366,0.7128385202392887,0.7119091968265282,0.717436058066796,0.692373844531032,0.6443855825542509,0.5843776018183653
12-3 top-5,0.8295439553841034,0.877347709706049,0.9227519929622092,0.8334746925324521,0.7372451193571429,0.8438887022321988,0.9129015403465285,1.0,0.8513477879197836,0.761570437936564,0.8367197432833082,0.8743447978497063,0.8822635081633629,0.8417172232658916,0.7522572633917998,0.683352993031571,0.7032513547700342,0.6964907153524551,0.6543764896842893,0.6030120309977407
12-4 top-5,0.7242050571613758,0.7614620680833666,0.7786568050349619,0.9089104971495683,0.7994173585275051,0.7589846220330951,0.7956492444597573,0.8513477879197836,1.0,0.8409359894323137,0.7422239128228846,0.7903243566895153,0.8627123232487307,0.8949446912103904,0.8464219398612252,0.6372182729329877,0.6780847174762114,0.7036346368340249,0.7166502007379598,0.6808661511005705
12-6 top-5,0.6491141406610402,0.6778231232452836,0.6868859297648688,0.7954948778805477,0.904597641409509,0.6748081011545618,0.7066934028953961,0.761570437936564,0.8409359894323137,1.0,0.666212298625005,0.7042195745712785,0.7561905208153256,0.8152706467851031,0.8952693748296555,0.5825489124395117,0.6151637773059395,0.6518194120877926,0.6736187699117913,0.6946174658800115
