,pendenza,terzi,quota,tstat,mesi,allarme_pendenza,allarme_terzi,allarme_quota,allarme_tstat,allarme_mesi
12-3 top-5 mensile (il candidato),0.39692776245530553,-4.100304765187904,0.8,1.3469473063221609,0.9090909090909091,False,True,False,False,False
momentum 12-2 top-5 annuale,-3.5894603093216917,-7.355188465250105,0.4,0.2801146801714626,1.0,True,True,True,False,False
momentum 12-2 top-10 annuale,-0.25167067033678414,-1.3014952748938997,0.4,0.5704580493902268,1.0666666666666667,False,True,True,False,False
momentum 12-2 top-25 annuale,0.5255113069715118,-0.9146197986725335,0.8,0.6200538238771766,1.1923076923076923,False,False,False,False,False
momentum 6-2 top-10 annuale,2.5538923667648747,0.18459161893798104,1.0,0.7865127002269763,1.0,False,False,False,False,False
low-vol 36m top-10 annuale,-4.449645618400054,-0.4082418806039989,0.0,-1.584604880542786,0.8214285714285714,True,False,True,True,True
low-vol 36m top-25 annuale,-1.342421339230041,-0.09022673824352356,0.2,-1.1740879149349481,0.7931034482758621,True,False,True,True,True
punteggio misto top-10 annuale,-1.8270035958550337,-0.6153376965966197,0.1,-0.8509441153014445,1.1071428571428572,True,False,True,True,False
momentum 12-2 top-5 mensile,2.8137486035043486,-5.093131714529527,0.8,1.4482057852115489,1.0,False,True,False,False,False
H5 momentum top-10 mensile,2.3212807695495874,-3.921576790476729,0.8,1.2266005898177836,0.9210526315789473,False,True,False,False,False
momentum 12-2 top-25 mensile,1.2319996994397224,-1.0916247717867646,0.5,1.197514039372113,0.6842105263157895,False,True,True,False,True
H4 low-vol 36m top-10 mensile,-4.510438187810134,-1.6339443140114445,0.0,-1.1694842166892578,0.7878787878787878,True,True,True,True,True
C1 punteggio misto top-10 mensile,0.5562784568713832,0.5915246630222697,0.3,0.2864122387040088,0.8823529411764706,False,False,True,False,True
